,crash_id,person_age,charge,person_ethnicity,crash_date,day_of_week,person_gender,person_helmet,driver_license_class,has_motocycle_endorsment,driver_license_state,driver_license_type,person_injury_severity,license_plate_state,vehicle_body_style,vehicle_color,vehicle_defect_1,vehicle_make,vehicle_model_name,vehicle_model_year
10,16978915.0,48.0,no charges,h - hispanic,2018-01-07,sunday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,k - fatal injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,unknown (harley-davidson),2003
11,16189210.0,34.0,"m059955, m059955",w - white,2018-01-08,monday,1 - male,"2 - worn, damaged",c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blu - blue,no data,honda,vt700 (honda),2007
12,16193829.0,47.0,no charges,h - hispanic,2018-01-08,monday,1 - male,"3 - worn, not damaged",cm - class c and m,1.0,tx - texas,1 - driver license,n - not injured,tx - texas,pm - police motorcycle,blk - black,no data,kawasaki,zg1000 (kawasaki),2013
13,16195165.0,28.0,no charges,h - hispanic,2018-01-08,monday,1 - male,1 - not worn,c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,red - red,no data,honda,xr100 (honda),2003
14,16196935.0,23.0,"turned when unsafe, no tx dl class m",h - hispanic,2018-01-08,monday,2 - female,1 - not worn,c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,whi - white,no data,harley-davidson,xl883 (harley-davidson),2018
15,16190900.0,41.0,no charges,w - white,2018-01-09,tuesday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,k - fatal injury,tx - texas,mc - motorcycle,red - red,no data,honda,cb600 (honda),2002
16,16194513.0,66.0,no charges,w - white,2018-01-09,tuesday,1 - male,1 - not worn,cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,no data,2016
17,16194515.0,23.0,no charges,w - white,2018-01-09,tuesday,1 - male,1 - not worn,cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,kawasaki,ex250 (kawasaki),2016
18,16195540.0,33.0,no charges,w - white,2018-01-09,tuesday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,kawasaki,no data,2012
19,16198808.0,30.0,no dl (expired),w - white,2018-01-09,tuesday,1 - male,"2 - worn, damaged",c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,ple - purple,no data,yamaha,unknown (yamaha),2003
20,16980827.0,21.0,no charges,h - hispanic,2018-01-09,tuesday,1 - male,"4 - worn, unk damage",5 - unlicensed,0.0,tx - texas,4 - id card,a - suspected serious injury,tx - texas,mc - motorcycle,blk - black,no data,cpi motor company,unknown (cpi motor company),2013
21,16190950.0,26.0,no charges,b - black,2018-01-10,wednesday,1 - male,"2 - worn, damaged",c - class c,0.0,tx - texas,1 - driver license,k - fatal injury,tx - texas,mc - motorcycle,blu - blue,no data,kawasaki,ex300 (kawasaki),2017
22,16192546.0,46.0,no charges,w - white,2018-01-10,wednesday,1 - male,"2 - worn, damaged",98 - other/out of state,0.0,mt - montana,1 - driver license,b - suspected minor injury,mt - montana,mc - motorcycle,mar - maroon,10 - defective or no vehicle brakes,suzuki,unknown (suzuki),1988
23,16192883.0,22.0,no charges,w - white,2018-01-10,wednesday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,k - fatal injury,tx - texas,mc - motorcycle,blk - black,no data,honda,cbr600 (honda),2008
24,16192893.0,44.0,no charges,w - white,2018-01-10,wednesday,1 - male,"3 - worn, not damaged",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,flhr (harley-davidson),2012
25,16193187.0,40.0,no charges,w - white,2018-01-10,wednesday,1 - male,"2 - worn, damaged",5 - unlicensed,0.0,,5 - unlicensed,a - suspected serious injury,no data,mc - motorcycle,red - red,no data,harley-davidson,flhp (harley-davidson),2006
26,16192161.0,38.0,no charges,w - white,2018-01-11,thursday,2 - female,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,yel - yellow,no data,harley-davidson,xl1200 (harley-davidson),2007
27,16193412.0,20.0,no charges,b - black,2018-01-11,thursday,1 - male,"4 - worn, unk damage",99 - unknown,0.0,un - unknown,99 - unknown,n - not injured,un - unknown,mc - motorcycle,blk - black,no data,suzuki,gsx (suzuki),2007
28,16196387.0,21.0,no charges,w - white,2018-01-11,thursday,1 - male,"4 - worn, unk damage",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,kawasaki,unknown (kawasaki),2017
29,16196864.0,54.0,no charges,w - white,2018-01-11,thursday,1 - male,"3 - worn, not damaged",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,bmw,r1100 (bmw),2000
30,16194597.0,40.0,no charges,h - hispanic,2018-01-12,friday,1 - male,1 - not worn,c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,unknown (harley-davidson),2016
31,16195657.0,60.0,no charges,w - white,2018-01-12,friday,1 - male,1 - not worn,cm - class c and m,1.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,blu - blue,no data,harley-davidson,flhp (harley-davidson),2003
32,16197960.0,28.0,no charges,w - white,2018-01-12,friday,1 - male,"2 - worn, damaged",c - class c,0.0,tx - texas,1 - driver license,k - fatal injury,tx - texas,mc - motorcycle,blu - blue,no data,suzuki,gsx-r1000 (suzuki),2005
33,16195826.0,34.0,no charges,w - white,2018-01-13,saturday,1 - male,1 - not worn,cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,unknown (harley-davidson),2005
34,16196920.0,22.0,unsafe speed,w - white,2018-01-13,saturday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,sil - silver,no data,honda,cbr600 (honda),2003
35,16197141.0,60.0,no charges,b - black,2018-01-13,saturday,1 - male,"3 - worn, not damaged",c - class c,0.0,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,blu - blue,no data,harley-davidson,unknown (harley-davidson),2007
36,16201468.0,56.0,no charges,b - black,2018-01-13,saturday,1 - male,"3 - worn, not damaged",c - class c,0.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,red - red,no data,other (explain in narrative),other (explain in narrative) (other (explain in narrative)),no data
37,16202353.0,25.0,no charges,h - hispanic,2018-01-13,saturday,1 - male,"4 - worn, unk damage",98 - other/out of state,0.0,wa - washington,1 - driver license,n - not injured,wa - washington,mc - motorcycle,blu - blue,no data,yamaha,yzfr6 (yamaha),2007
38,16207750.0,28.0,no charges,h - hispanic,2018-01-13,saturday,1 - male,1 - not worn,a - class a,0.0,tx - texas,2 - commercial driver lic.,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,yamaha,xvs650 (yamaha),2015
39,16195997.0,17.0,"fleeing police officer, no motorcycle endorsement",w - white,2018-01-14,sunday,1 - male,"3 - worn, not damaged",c - class c,0.0,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,blu - blue,no data,honda,cbr1000 (honda),2008
40,16196704.0,27.0,no charges,i - amer. indian/alaskan native,2018-01-14,sunday,1 - male,"3 - worn, not damaged",c - class c,0.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,red - red,no data,honda,cbr600 (honda),2005
41,16201236.0,47.0,no charges,w - white,2018-01-14,sunday,1 - male,"2 - worn, damaged",c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,ong - orange,no data,kawasaki,zx600 (kawasaki),2000
42,16201539.0,33.0,driving while intoxicated 1st offense 0.15 or more,h - hispanic,2018-01-14,sunday,1 - male,"3 - worn, not damaged",5 - unlicensed,0.0,tx - texas,4 - id card,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,unknown (harley-davidson),2016
43,16202512.0,22.0,no charges,w - white,2018-01-14,sunday,2 - female,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,whi - white,no data,kawasaki,vulcan 2000 (kawasaki),2015
44,16207275.0,45.0,"driving while license invalid, fail to maint financial responsibility, expired registration",w - white,2018-01-14,sunday,1 - male,1 - not worn,c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blu - blue,no data,harley-davidson,flh80 (harley-davidson),2007
45,16210409.0,51.0,no charges,w - white,2018-01-14,sunday,1 - male,1 - not worn,c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,whi - white,no data,harley-davidson,flhp (harley-davidson),2016
46,16198322.0,61.0,no charges,w - white,2018-01-15,monday,1 - male,"2 - worn, damaged",bm - class b and m,1.0,tx - texas,2 - commercial driver lic.,b - suspected minor injury,tx - texas,mc - motorcycle,ong - orange,no data,honda,vtx1800 (honda),2002
47,16199789.0,27.0,no charges,b - black,2018-01-15,monday,1 - male,"3 - worn, not damaged",c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blu - blue,no data,kawasaki,unknown (kawasaki),2005
48,16206294.0,75.0,no charges,b - black,2018-01-15,monday,1 - male,"3 - worn, not damaged",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blu - blue,no data,bmw,r1200 (bmw),2012
49,16209550.0,59.0,no charges,w - white,2018-01-15,monday,1 - male,"3 - worn, not damaged",am - class a and m,1.0,tx - texas,2 - commercial driver lic.,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,honda,unknown (honda),2004
50,16259326.0,29.0,operate unregisterd motor vehicle,w - white,2018-01-15,monday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,blk - black,no data,yamaha,unknown (yamaha),2007
51,16333091.0,65.0,no charges,w - white,2018-01-15,monday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,bro - brown,no data,harley-davidson,unknown (harley-davidson),2014
52,16205342.0,49.0,no charges,w - white,2018-01-17,wednesday,1 - male,"3 - worn, not damaged",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,pm - police motorcycle,whi - white,98 - other  (explain in narrative),bmw,r1200 (bmw),2016
53,16205706.0,33.0,no charges,w - white,2018-01-17,wednesday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,ducati,monster (ducati),2013
54,16203652.0,63.0,fail to control speed (wreck)(property damage)  tc 545.351 *,w - white,2018-01-18,thursday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,red - red,no data,honda,gl1100 (honda),2003
55,16208100.0,23.0,no charges,w - white,2018-01-19,friday,1 - male,"2 - worn, damaged",am - class a and m,1.0,tx - texas,2 - commercial driver lic.,b - suspected minor injury,tx - texas,mc - motorcycle,mar - maroon,no data,kawasaki,zg1200 (kawasaki),2001
56,16211075.0,65.0,no charges,w - white,2018-01-19,friday,1 - male,"2 - worn, damaged",c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,ong - orange,no data,no data,no data,2017
57,16212293.0,36.0,no charges,b - black,2018-01-19,friday,1 - male,"4 - worn, unk damage",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,whi - white,no data,kawasaki,zx1000 (kawasaki),2017
58,16206624.0,41.0,no charges,w - white,2018-01-20,saturday,1 - male,1 - not worn,cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,fltrx (harley-davidson),2018
59,16206829.0,55.0,no charges,w - white,2018-01-20,saturday,1 - male,"3 - worn, not damaged",cm - class c and m,1.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,red - red,no data,harley-davidson,fld (harley-davidson),2016
60,16209449.0,21.0,no charges,w - white,2018-01-20,saturday,1 - male,"4 - worn, unk damage",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,fxdl (harley-davidson),2017
61,16254349.0,70.0,unsafe speed,w - white,2018-01-20,saturday,1 - male,1 - not worn,cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,flhtcutg (harley-davidson),2017
62,16209160.0,20.0,no charges,w - white,2018-01-21,sunday,1 - male,"3 - worn, not damaged",cm - class c and m,1.0,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,whi - white,no data,kawasaki,ex650 (kawasaki),2017
63,16210352.0,57.0,no charges,w - white,2018-01-21,sunday,1 - male,"3 - worn, not damaged",cm - class c and m,1.0,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,unknown (harley-davidson),2017
64,16212341.0,26.0,driving while intoxicated,w - white,2018-01-21,sunday,1 - male,"3 - worn, not damaged",am - class a and m,1.0,tx - texas,2 - commercial driver lic.,n - not injured,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,fld (harley-davidson),2013
65,16212987.0,22.0,unsafe speed,h - hispanic,2018-01-21,sunday,1 - male,"3 - worn, not damaged",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,red - red,no data,kawasaki,ninja zx (kawasaki),2016
66,16602409.0,40.0,no charges,w - white,2018-01-21,sunday,1 - male,"4 - worn, unk damage",cm - class c and m,1.0,tx - texas,1 - driver license,k - fatal injury,tx - texas,mc - motorcycle,blu - blue,no data,honda,crf1000 (honda),2002
67,16212195.0,23.0,no charges,a - asian,2018-01-22,monday,1 - male,"3 - worn, not damaged",m - class m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blu - blue,no data,suzuki,gsx750 (suzuki),2015
68,16860426.0,33.0,no charges,w - white,2018-01-22,monday,1 - male,"2 - worn, damaged",5 - unlicensed,0.0,,5 - unlicensed,a - suspected serious injury,no data,mc - motorcycle,blk - black,no data,kawasaki,ninja zx (kawasaki),2015
69,16320457.0,22.0,"no motor cycle operator license, passing/disregard no passing zone",h - hispanic,2018-01-26,friday,1 - male,"3 - worn, not damaged",c - class c,0.0,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,whi - white,no data,harley-davidson,unknown (harley-davidson),2004
70,16323750.0,36.0,no charges,w - white,2018-01-31,wednesday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,blu - blue,no data,honda,vt1300 (honda),2015
71,16259293.0,27.0,no charges,h - hispanic,2018-02-01,thursday,1 - male,"3 - worn, not damaged",cm - class c and m,1.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,blu - blue,no data,suzuki,unknown (suzuki),2012
72,16255449.0,23.0,no charges,i - amer. indian/alaskan native,2018-02-03,saturday,1 - male,1 - not worn,c - class c,0.0,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,blu - blue,no data,suzuki,an400 (suzuki),2007
73,16257128.0,55.0,no charges,h - hispanic,2018-02-04,sunday,1 - male,1 - not worn,c - class c,0.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,blk - black,no data,no data,no data,2005
74,16255069.0,49.0,no charges,w - white,2018-02-09,friday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blu - blue,no data,harley-davidson,unknown (harley-davidson),2008
75,16268900.0,48.0,no charges,w - white,2018-02-10,saturday,1 - male,1 - not worn,am - class a and m,1.0,tx - texas,1 - driver license,k - fatal injury,tx - texas,mc - motorcycle,blu - blue,no data,harley-davidson,flhr (harley-davidson),2016
76,16270130.0,23.0,no charges,w - white,2018-02-10,saturday,2 - female,1 - not worn,c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,unknown (harley-davidson),2003
77,16258314.0,41.0,driving while intoxicated 1st offense- 0.15 or more,w - white,2018-02-11,sunday,1 - male,"2 - worn, damaged",c - class c,0.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,blu - blue,no data,harley-davidson,flhtpi (harley-davidson),2006
78,16254987.0,24.0,"evading arrest with motor vehicle / prior conviction, theft of firearm, unauthorized use of motor vehicle, unlawful carry of weapon, felon in possession of firearm",w - white,2018-02-13,tuesday,1 - male,"2 - worn, damaged",c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,yamaha,unknown (yamaha),2016
79,16258499.0,29.0,no charges,w - white,2018-02-13,tuesday,1 - male,"3 - worn, not damaged",cm - class c and m,1.0,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,red - red,no data,honda,cbr600 (honda),2013
80,16261200.0,58.0,no charges,h - hispanic,2018-02-13,tuesday,1 - male,1 - not worn,am - class a and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,red - red,no data,honda,unknown (honda),1999
81,16253542.0,25.0,no charges,b - black,2018-02-15,thursday,2 - female,1 - not worn,c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,xlh883 (harley-davidson),2016
82,16254192.0,39.0,"no valid texas driver license, failure to maintain financial responsibility",h - hispanic,2018-02-15,thursday,1 - male,"3 - worn, not damaged",c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,red - red,no data,yamaha,yzfr1 (yamaha),2014
83,16254203.0,52.0,no charges,w - white,2018-02-15,thursday,1 - male,1 - not worn,am - class a and m,1.0,tx - texas,2 - commercial driver lic.,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,12 - defective or slick tires,harley-davidson,unknown (harley-davidson),2001
84,16254391.0,23.0,no charges,b - black,2018-02-15,thursday,1 - male,"2 - worn, damaged",98 - other/out of state,0.0,mo - missouri,1 - driver license,b - suspected minor injury,mo - missouri,mc - motorcycle,blk - black,no data,suzuki,gsx (suzuki),2008
85,16261729.0,49.0,no charges,w - white,2018-02-15,thursday,1 - male,1 - not worn,c - class c,0.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,fxdb (harley-davidson),2009
86,16264647.0,64.0,unsafe speed,w - white,2018-02-15,thursday,1 - male,"3 - worn, not damaged",cm - class c and m,1.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,blu - blue,no data,harley-davidson,unknown (harley-davidson),1997
87,16273456.0,45.0,no charges,b - black,2018-02-15,thursday,1 - male,1 - not worn,a - class a,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,red - red,no data,honda,vtx1300 (honda),2006
88,16254725.0,29.0,no charges,w - white,2018-02-16,friday,1 - male,1 - not worn,c - class c,0.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,blk - black,no data,genuine scooter co.,buddy (genuine scooter co.),2009
89,16257931.0,21.0,"no insurance, dwli- surcharge due/ no tx dl",w - white,2018-02-16,friday,1 - male,1 - not worn,5 - unlicensed,0.0,tx - texas,4 - id card,b - suspected minor injury,tx - texas,mc - motorcycle,blu - blue,no data,buell,blast (buell),2005
90,16264714.0,26.0,no charges,w - white,2018-02-16,friday,1 - male,1 - not worn,98 - other/out of state,0.0,wi - wisconsin,1 - driver license,b - suspected minor injury,wi - wisconsin,mc - motorcycle,whi - white,no data,yamaha,fz6 (yamaha),2009
91,16264779.0,67.0,unsafe speed,w - white,2018-02-16,friday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,bmw,r1200 (bmw),2006
92,16258442.0,62.0,no charges,w - white,2018-02-17,saturday,1 - male,1 - not worn,am - class a and m,1.0,tx - texas,2 - commercial driver lic.,a - suspected serious injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,unknown (harley-davidson),2007
93,16261379.0,42.0,unsafe speed,w - white,2018-02-17,saturday,2 - female,"4 - worn, unk damage",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,victory motorcycles,cross country (victory motorcycles),2012
94,16268261.0,33.0,no charges,w - white,2018-02-17,saturday,1 - male,1 - not worn,98 - other/out of state,0.0,ok - oklahoma,1 - driver license,a - suspected serious injury,ok - oklahoma,mc - motorcycle,blk - black,no data,harley-davidson,unknown (harley-davidson),2005
95,16255550.0,57.0,unsafe speed,w - white,2018-02-18,sunday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,unknown (harley-davidson),2015
96,16258089.0,27.0,no charges,b - black,2018-02-18,sunday,1 - male,"4 - worn, unk damage",98 - other/out of state,0.0,tn - tennessee,1 - driver license,b - suspected minor injury,tn - tennessee,mc - motorcycle,blk - black,no data,honda,cbr500 (honda),2014
97,16258540.0,39.0,driving while intoxicated/misd,h - hispanic,2018-02-18,sunday,1 - male,99 - unknown if worn,a - class a,0.0,tx - texas,2 - commercial driver lic.,n - not injured,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,unknown (harley-davidson),2006
98,,,,,,,,,,,,,,,,,,,,
99,16260717.0,30.0,"expired registration, no restricted class m license",w - white,2018-02-18,sunday,1 - male,"2 - worn, damaged",c - class c,0.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,red - red,98 - other  (explain in narrative),victory motorcycles,vx (victory motorcycles),2014
100,16261750.0,54.0,driving while intoxicated - 2nd,w - white,2018-02-18,sunday,1 - male,1 - not worn,a - class a,0.0,tx - texas,2 - commercial driver lic.,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,harley-davidson,fxsts (harley-davidson),2005
101,16264620.0,37.0,no charges,h - hispanic,2018-02-18,sunday,1 - male,99 - unknown if worn,cm - class c and m,1.0,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,blk - black,no data,indian motorcycle co.,chief (indian motorcycle co.),2016
102,16267779.0,27.0,no charges,w - white,2018-02-18,sunday,1 - male,"2 - worn, damaged",c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,suzuki,gsx (suzuki),2001
103,16268559.0,26.0,no charges,h - hispanic,2018-02-18,sunday,1 - male,"3 - worn, not damaged",cm - class c and m,1.0,tx - texas,1 - driver license,a - suspected serious injury,tx - texas,mc - motorcycle,red - red,no data,harley-davidson,fld (harley-davidson),2017
104,16268635.0,23.0,"no drivers license, unsafe speed",w - white,2018-02-18,sunday,1 - male,1 - not worn,5 - unlicensed,0.0,tx - texas,4 - id card,a - suspected serious injury,tx - texas,mc - motorcycle,red - red,no data,harley-davidson,unknown (harley-davidson),2004
105,16274089.0,51.0,driving while intoxicated 3rd or more,h - hispanic,2018-02-18,sunday,1 - male,1 - not worn,c - class c,0.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,red - red,no data,harley-davidson,xg750 (harley-davidson),2015
106,16277523.0,31.0,fail to maint financial responsibility,w - white,2018-02-18,sunday,1 - male,1 - not worn,cm - class c and m,1.0,tx - texas,1 - driver license,n - not injured,tx - texas,mc - motorcycle,blk - black,no data,kawasaki,zx600 (kawasaki),2016
107,16332636.0,23.0,no charges,w - white,2018-02-18,sunday,1 - male,"4 - worn, unk damage",98 - other/out of state,0.0,mn - minnesota,1 - driver license,b - suspected minor injury,mn - minnesota,mc - motorcycle,blk - black,no data,honda,unknown (honda),1995
108,16258265.0,59.0,no charges,w - white,2018-02-19,monday,1 - male,"2 - worn, damaged",cm - class c and m,1.0,tx - texas,1 - driver license,b - suspected minor injury,tx - texas,mc - motorcycle,blk - black,no data,yamaha,no data,2009
