crash_id,person_injury_severity,crash_date,crash_month,crash_time,crash_year,day_of_week,city,county,latitude,longitude,rural_flag,rural_urban_type,road_class,physical_feature_1,population_group,property_damages
16192161,A - SUSPECTED SERIOUS INJURY,2018-01-11,1,735,2018,THURSDAY,LEWISVILLE,DENTON,33.04637909,-97.00861359,No,"LARGE URBANIZED (200,000+)",INTERSTATE,NOT APPLICABLE,"50,000 - 99,999 POP",NONE
16193412,N - NOT INJURED,2018-01-11,1,1227,2018,THURSDAY,KILLEEN,BELL,31.07760201,-97.68737874,No,no data,US & STATE HIGHWAYS,NOT APPLICABLE,"100,000 - 249,999 POP",NONE
16196387,B - SUSPECTED MINOR INJURY,2018-01-11,1,1405,2018,THURSDAY,KYLE,HAYS,30.0011877,-97.86749607,No,"LARGE URBANIZED (200,000+)",INTERSTATE,NOT APPLICABLE,"25,000 - 49,999 POP",NONE
16196864,B - SUSPECTED MINOR INJURY,2018-01-11,1,1856,2018,THURSDAY,PLANO,COLLIN,33.03904566,-96.70364333,No,"LARGE URBANIZED (200,000+)",US & STATE HIGHWAYS,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16194597,B - SUSPECTED MINOR INJURY,2018-01-12,1,1628,2018,FRIDAY,SAN ANTONIO,BEXAR,29.33801808,-98.55143049,No,"LARGE URBANIZED (200,000+)",US & STATE HIGHWAYS,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16195657,A - SUSPECTED SERIOUS INJURY,2018-01-12,1,740,2018,FRIDAY,TEXAS CITY,GALVESTON,29.44162277,-95.07096295,No,"URBANIZED (50,000-199,999)",INTERSTATE,NOT APPLICABLE,"25,000 - 49,999 POP",NONE
16197960,K - FATAL INJURY,2018-01-12,1,1955,2018,FRIDAY,HOUSTON,HARRIS,29.72853471,-95.46130236,No,"LARGE URBANIZED (200,000+)",INTERSTATE,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16195826,B - SUSPECTED MINOR INJURY,2018-01-13,1,1650,2018,SATURDAY,SAN ANTONIO,BEXAR,29.54193495,-98.63817137,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16196920,A - SUSPECTED SERIOUS INJURY,2018-01-13,1,1215,2018,SATURDAY,OUTSIDE CITY LIMITS,JOHNSON,32.47085334,-97.11455382,Yes,"SMALL URBAN (5000-49,999)",FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16197141,N - NOT INJURED,2018-01-13,1,1654,2018,SATURDAY,BAY CITY,MATAGORDA,28.96948201,-95.97538663,No,no data,CITY STREET,NOT APPLICABLE,"10,000 - 24,999 POP",NONE
16201468,A - SUSPECTED SERIOUS INJURY,2018-01-13,1,1828,2018,SATURDAY,AUSTIN,TRAVIS,30.23230378,-97.79306613,No,"LARGE URBANIZED (200,000+)",US & STATE HIGHWAYS,CROSSOVER FROM ONE FRONTAGE ROAD TO OTHER,"250,000 POP AND OVER",NONE
16202353,N - NOT INJURED,2018-01-13,1,1642,2018,SATURDAY,OUTSIDE CITY LIMITS,WILLIAMSON,30.60994377,-97.60076642,Yes,"LARGE URBANIZED (200,000+)",US & STATE HIGHWAYS,NOT APPLICABLE,RURAL,NONE
16207750,B - SUSPECTED MINOR INJURY,2018-01-13,1,1818,2018,SATURDAY,BROWNSVILLE,CAMERON,25.99358508,-97.60259176,No,"LARGE URBANIZED (200,000+)",US & STATE HIGHWAYS,NOT APPLICABLE,"100,000 - 249,999 POP",NONE
16195997,N - NOT INJURED,2018-01-14,1,1416,2018,SUNDAY,CORINTH (DENTON),DENTON,33.14449995,-97.06511387,No,no data,CITY STREET,NOT APPLICABLE,"10,000 - 24,999 POP",NONE
16196704,A - SUSPECTED SERIOUS INJURY,2018-01-14,1,129,2018,SUNDAY,HUNTERS CREEK VILLAGE,HARRIS,29.77498003,-95.5017577,Yes,no data,CITY STREET,NOT APPLICABLE,"2,500 - 4,999 POP",NONE
16201236,B - SUSPECTED MINOR INJURY,2018-01-14,1,1823,2018,SUNDAY,IRVING,DALLAS,32.85166903,-96.93439385,No,no data,CITY STREET,NOT APPLICABLE,"100,000 - 249,999 POP",NONE
16201539,B - SUSPECTED MINOR INJURY,2018-01-14,1,229,2018,SUNDAY,OUTSIDE CITY LIMITS,TRAVIS,30.45660204,-97.66650767,Yes,"LARGE URBANIZED (200,000+)",INTERSTATE,CROSSOVER FROM ONE FRONTAGE ROAD TO OTHER,RURAL,NONE
16202512,C - POSSIBLE INJURY,2018-01-14,1,1655,2018,SUNDAY,OUTSIDE CITY LIMITS,CALLAHAN,32.39073311,-99.33866156,Yes,RURAL (<5000),INTERSTATE,NOT APPLICABLE,RURAL,GUARD FENCE AND 1 POST
16207275,C - POSSIBLE INJURY,2018-01-14,1,1600,2018,SUNDAY,OUTSIDE CITY LIMITS,HARRIS,29.81269451,-94.99929898,Yes,no data,CITY STREET,NOT APPLICABLE,RURAL,NONE
16210409,B - SUSPECTED MINOR INJURY,2018-01-14,1,1354,2018,SUNDAY,OUTSIDE CITY LIMITS,SMITH,32.44634711,-95.06350305,Yes,RURAL (<5000),FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16198322,B - SUSPECTED MINOR INJURY,2018-01-15,1,1526,2018,MONDAY,PLANO,COLLIN,no data,no data,No,no data,FARM TO MARKET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16199789,B - SUSPECTED MINOR INJURY,2018-01-15,1,1150,2018,MONDAY,SAN ANTONIO,BEXAR,29.40447497,-98.44651233,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",UTILITY POLE
16206294,C - POSSIBLE INJURY,2018-01-15,1,1255,2018,MONDAY,OUTSIDE CITY LIMITS,BEXAR,29.52570639,-98.71820599,Yes,"LARGE URBANIZED (200,000+)",FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16209550,B - SUSPECTED MINOR INJURY,2018-01-15,1,1425,2018,MONDAY,OUTSIDE CITY LIMITS,ANDERSON,32.06534913,-95.46606822,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,NONE
16259326,N - NOT INJURED,2018-01-15,1,103,2018,MONDAY,OLMOS PARK,BEXAR,29.47218496,-98.49170231,Yes,no data,CITY STREET,NOT APPLICABLE,"TOWN UNDER 2,499 POP","DIRECTIONAL SIGN, STRING LIGHT"
16333091,B - SUSPECTED MINOR INJURY,2018-01-15,1,1039,2018,MONDAY,ALLEN,COLLIN,33.09848432,-96.67896526,No,"LARGE URBANIZED (200,000+)",US & STATE HIGHWAYS,NOT APPLICABLE,"100,000 - 249,999 POP",NONE
16205342,B - SUSPECTED MINOR INJURY,2018-01-17,1,821,2018,WEDNESDAY,ROUND ROCK,WILLIAMSON,30.51871124,-97.67325818,No,"LARGE URBANIZED (200,000+)",CITY STREET,NOT APPLICABLE,"100,000 - 249,999 POP",NONE
16205706,B - SUSPECTED MINOR INJURY,2018-01-17,1,1715,2018,WEDNESDAY,AUSTIN,TRAVIS,30.24115141,-97.72769863,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16203652,C - POSSIBLE INJURY,2018-01-18,1,1658,2018,THURSDAY,RIESEL,MCLENNAN,31.47483826,-96.92510986,Yes,RURAL (<5000),US & STATE HIGHWAYS,NOT APPLICABLE,"TOWN UNDER 2,499 POP",DAMAGE TO METAL BUILDING
16208100,C - POSSIBLE INJURY,2018-01-19,1,1620,2018,FRIDAY,KATY,FORT BEND,29.78032272,-95.8129469,No,"LARGE URBANIZED (200,000+)",INTERSTATE,NOT APPLICABLE,"10,000 - 24,999 POP",NONE
16211075,B - SUSPECTED MINOR INJURY,2018-01-19,1,1245,2018,FRIDAY,DALLAS,DALLAS,32.71956426,-96.66951294,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16212293,C - POSSIBLE INJURY,2018-01-19,1,1601,2018,FRIDAY,BEAUMONT,JEFFERSON,30.10987023,-94.12548119,No,no data,CITY STREET,NOT APPLICABLE,"100,000 - 249,999 POP",PLASTIC DITCH COVER
16206624,B - SUSPECTED MINOR INJURY,2018-01-20,1,1634,2018,SATURDAY,OUTSIDE CITY LIMITS,ARMSTRONG,34.78754944,-101.54665724,Yes,RURAL (<5000),FARM TO MARKET,NOT APPLICABLE,RURAL,1-COW
16206829,A - SUSPECTED SERIOUS INJURY,2018-01-20,1,1453,2018,SATURDAY,JUSTIN,DENTON,33.08489603,-97.29783153,Yes,RURAL (<5000),FARM TO MARKET,NOT APPLICABLE,"2,500 - 4,999 POP",NONE
16209449,C - POSSIBLE INJURY,2018-01-20,1,1056,2018,SATURDAY,FLOWER MOUND,DENTON,32.99842074,-97.03700699,No,no data,CITY STREET,NOT APPLICABLE,"50,000 - 99,999 POP",NONE
16254349,B - SUSPECTED MINOR INJURY,2018-01-20,1,730,2018,SATURDAY,OUTSIDE CITY LIMITS,BRAZOS,30.69474195,-96.29346058,Yes,RURAL (<5000),FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16209160,N - NOT INJURED,2018-01-21,1,830,2018,SUNDAY,GALVESTON,GALVESTON,29.2191649,-94.92390323,No,no data,CITY STREET,NOT APPLICABLE,"50,000 - 99,999 POP",NONE
16210352,N - NOT INJURED,2018-01-21,1,1737,2018,SUNDAY,WICHITA FALLS,WICHITA,33.87755413,-98.50992207,No,no data,CITY STREET,NOT APPLICABLE,"100,000 - 249,999 POP",NONE
16212341,N - NOT INJURED,2018-01-21,1,130,2018,SUNDAY,OUTSIDE CITY LIMITS,SMITH,no data,no data,Yes,no data,US & STATE HIGHWAYS,NOT APPLICABLE,RURAL,NONE
16212987,B - SUSPECTED MINOR INJURY,2018-01-21,1,1205,2018,SUNDAY,OUTSIDE CITY LIMITS,MATAGORDA,28.70166197,-96.24218834,Yes,RURAL (<5000),US & STATE HIGHWAYS,NOT APPLICABLE,RURAL,WARNING SIGN
16602409,K - FATAL INJURY,2018-01-21,1,1921,2018,SUNDAY,DALLAS,DALLAS,32.69110439,-96.63248716,No,"LARGE URBANIZED (200,000+)",INTERSTATE,NOT APPLICABLE,"250,000 POP AND OVER",GAURD RAIL
16212195,C - POSSIBLE INJURY,2018-01-22,1,2313,2018,MONDAY,EL PASO,EL PASO,31.77374885,-106.36942305,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16860426,A - SUSPECTED SERIOUS INJURY,2018-01-22,1,550,2018,MONDAY,DALLAS,DALLAS,32.76639661,-96.91427283,No,"LARGE URBANIZED (200,000+)",INTERSTATE,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16320457,N - NOT INJURED,2018-01-26,1,1923,2018,FRIDAY,GARDEN RIDGE,COMAL,29.62300301,-98.29076385,Yes,"LARGE URBANIZED (200,000+)",FARM TO MARKET,NOT APPLICABLE,"2,500 - 4,999 POP",NONE
16323750,A - SUSPECTED SERIOUS INJURY,2018-01-31,1,1755,2018,WEDNESDAY,RICHARDSON,DALLAS,32.93438786,-96.70798304,No,no data,CITY STREET,NOT APPLICABLE,"100,000 - 249,999 POP",TREE/SHRUBS
16259293,A - SUSPECTED SERIOUS INJURY,2018-02-01,2,2026,2018,THURSDAY,DEER PARK,HARRIS,29.67644371,-95.12325191,No,no data,CITY STREET,NOT APPLICABLE,"25,000 - 49,999 POP",NONE
16255449,N - NOT INJURED,2018-02-03,2,2044,2018,SATURDAY,LUBBOCK,LUBBOCK,33.58818433,-101.86990313,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16257128,A - SUSPECTED SERIOUS INJURY,2018-02-04,2,1903,2018,SUNDAY,ALPINE,BREWSTER,30.35724447,-103.64162213,No,no data,CITY STREET,NOT APPLICABLE,"5,000 - 9,999 POP",NONE
16255069,C - POSSIBLE INJURY,2018-02-09,2,1345,2018,FRIDAY,FORT WORTH,TARRANT,32.73494278,-97.22511852,No,"LARGE URBANIZED (200,000+)",INTERSTATE,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16268900,K - FATAL INJURY,2018-02-10,2,2043,2018,SATURDAY,OUTSIDE CITY LIMITS,TRAVIS,30.14060391,-97.82662061,Yes,"LARGE URBANIZED (200,000+)",FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16270130,B - SUSPECTED MINOR INJURY,2018-02-10,2,1536,2018,SATURDAY,HUMBLE,HARRIS,29.99913049,-95.2592329,No,"LARGE URBANIZED (200,000+)",US & STATE HIGHWAYS,NOT APPLICABLE,"10,000 - 24,999 POP",NONE
16258314,A - SUSPECTED SERIOUS INJURY,2018-02-11,2,1658,2018,SUNDAY,OUTSIDE CITY LIMITS,JOHNSON,32.45279861,-97.2936468,Yes,"LARGE URBANIZED (200,000+)",FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16254987,C - POSSIBLE INJURY,2018-02-13,2,2258,2018,TUESDAY,OUTSIDE CITY LIMITS,HOCKLEY,33.42781667,-102.14442909,Yes,RURAL (<5000),US & STATE HIGHWAYS,NOT APPLICABLE,RURAL,NONE
16258499,N - NOT INJURED,2018-02-13,2,1233,2018,TUESDAY,OUTSIDE CITY LIMITS,JOHNSON,32.39058709,-97.2136853,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,NONE
16261200,C - POSSIBLE INJURY,2018-02-13,2,2250,2018,TUESDAY,EL PASO,EL PASO,31.79677484,-106.46140032,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16253542,C - POSSIBLE INJURY,2018-02-15,2,1737,2018,THURSDAY,HOUSTON,HARRIS,29.90552781,-95.41242314,No,"LARGE URBANIZED (200,000+)",INTERSTATE,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16254192,B - SUSPECTED MINOR INJURY,2018-02-15,2,1651,2018,THURSDAY,DALLAS,DALLAS,32.7912558,-96.88436153,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16254203,B - SUSPECTED MINOR INJURY,2018-02-15,2,1556,2018,THURSDAY,ITALY,ELLIS,32.20061108,-96.89706397,Yes,RURAL (<5000),INTERSTATE,NOT APPLICABLE,"TOWN UNDER 2,499 POP",NONE
16254391,C - POSSIBLE INJURY,2018-02-15,2,1605,2018,THURSDAY,EL PASO,EL PASO,31.89837321,-106.42058575,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16261729,A - SUSPECTED SERIOUS INJURY,2018-02-15,2,1604,2018,THURSDAY,OUTSIDE CITY LIMITS,BOWIE,33.32728474,-94.08894699,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,NONE
16264647,A - SUSPECTED SERIOUS INJURY,2018-02-15,2,1319,2018,THURSDAY,OUTSIDE CITY LIMITS,REFUGIO,28.16177726,-97.33466787,Yes,RURAL (<5000),FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16273456,B - SUSPECTED MINOR INJURY,2018-02-15,2,1849,2018,THURSDAY,OUTSIDE CITY LIMITS,HARRIS,29.94472564,-95.46548374,Yes,no data,COUNTY ROAD,ENTRANCE TO OR EXIT FROM PRIVATE PROPERTY OR DRIVEWAY,RURAL,NONE
16254725,A - SUSPECTED SERIOUS INJURY,2018-02-16,2,330,2018,FRIDAY,HOUSTON,HARRIS,no data,no data,No,no data,NON TRAFFICWAY,IN A PARKING LOT,"250,000 POP AND OVER",NONE
16257931,B - SUSPECTED MINOR INJURY,2018-02-16,2,1242,2018,FRIDAY,OUTSIDE CITY LIMITS,ANDERSON,31.87009935,-95.59991186,Yes,RURAL (<5000),FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16264714,B - SUSPECTED MINOR INJURY,2018-02-16,2,2150,2018,FRIDAY,SAN ANTONIO,BEXAR,29.36009498,-98.50388231,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16264779,B - SUSPECTED MINOR INJURY,2018-02-16,2,1644,2018,FRIDAY,OUTSIDE CITY LIMITS,REAL,29.9296595,-99.80044111,Yes,RURAL (<5000),FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16258442,A - SUSPECTED SERIOUS INJURY,2018-02-17,2,1454,2018,SATURDAY,OUTSIDE CITY LIMITS,JOHNSON,32.45850201,-97.34171046,Yes,"LARGE URBANIZED (200,000+)",FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16261379,B - SUSPECTED MINOR INJURY,2018-02-17,2,1415,2018,SATURDAY,OUTSIDE CITY LIMITS,SAN JACINTO,30.55231873,-95.23891407,Yes,RURAL (<5000),FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16268261,A - SUSPECTED SERIOUS INJURY,2018-02-17,2,1900,2018,SATURDAY,OUTSIDE CITY LIMITS,LAMAR,33.75354238,-95.60300379,Yes,RURAL (<5000),FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16255550,N - NOT INJURED,2018-02-18,2,1558,2018,SUNDAY,OUTSIDE CITY LIMITS,GILLESPIE,30.22276141,-98.84391411,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,NONE
16258089,C - POSSIBLE INJURY,2018-02-18,2,1820,2018,SUNDAY,SPRING VALLEY (HARRIS),HARRIS,29.78435559,-95.51967737,Yes,"LARGE URBANIZED (200,000+)",INTERSTATE,NOT APPLICABLE,"2,500 - 4,999 POP",NONE
16258540,N - NOT INJURED,2018-02-18,2,2204,2018,SUNDAY,HOUSTON,HARRIS,no data,no data,No,no data,NON TRAFFICWAY,PRIVATE DRIVE OR ROAD,"250,000 POP AND OVER",BICYCLE
16260343,C - POSSIBLE INJURY,2018-02-18,2,33,2018,SUNDAY,FORT WORTH,DENTON,33.02655258,-97.27894319,No,"LARGE URBANIZED (200,000+)",US & STATE HIGHWAYS,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16260717,A - SUSPECTED SERIOUS INJURY,2018-02-18,2,1630,2018,SUNDAY,OUTSIDE CITY LIMITS,PRESIDIO,30.38664002,-104.24469425,Yes,RURAL (<5000),US & STATE HIGHWAYS,NOT APPLICABLE,RURAL,NONE
16261750,B - SUSPECTED MINOR INJURY,2018-02-18,2,1715,2018,SUNDAY,OUTSIDE CITY LIMITS,HOOD,32.4160831,-97.71863974,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,NONE
16263028,99 - UNKNOWN,2018-02-18,2,2339,2018,SUNDAY,OUTSIDE CITY LIMITS,HARRIS,29.98354763,-95.47853402,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,NONE
16264620,N - NOT INJURED,2018-02-18,2,1528,2018,SUNDAY,OUTSIDE CITY LIMITS,BEXAR,29.27634023,-98.67371437,Yes,RURAL (<5000),INTERSTATE,NOT APPLICABLE,RURAL,NONE
16267779,B - SUSPECTED MINOR INJURY,2018-02-18,2,106,2018,SUNDAY,OUTSIDE CITY LIMITS,JONES,32.56334899,-99.79019578,Yes,RURAL (<5000),US & STATE HIGHWAYS,NOT APPLICABLE,RURAL,NONE
16268559,A - SUSPECTED SERIOUS INJURY,2018-02-18,2,1945,2018,SUNDAY,SEGUIN,GUADALUPE,29.56051207,-98.03277193,No,"SMALL URBAN (5000-49,999)",INTERSTATE,NOT APPLICABLE,"25,000 - 49,999 POP",NONE
16268635,A - SUSPECTED SERIOUS INJURY,2018-02-18,2,1500,2018,SUNDAY,OUTSIDE CITY LIMITS,HARRIS,29.85311267,-95.56959627,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,NONE
16274089,B - SUSPECTED MINOR INJURY,2018-02-18,2,1800,2018,SUNDAY,OUTSIDE CITY LIMITS,RUNNELS,31.65666719,-100.03991005,Yes,RURAL (<5000),US & STATE HIGHWAYS,NOT APPLICABLE,RURAL,NONE
16277523,N - NOT INJURED,2018-02-18,2,1721,2018,SUNDAY,OUTSIDE CITY LIMITS,HARRIS,29.84420633,-95.70147995,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,"COMMUNITY MAILBOX, 77"
16332636,C - POSSIBLE INJURY,2018-02-18,2,1250,2018,SUNDAY,HOUSTON,HARRIS,29.80927318,-95.45778728,No,"LARGE URBANIZED (200,000+)",US & STATE HIGHWAYS,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16258265,B - SUSPECTED MINOR INJURY,2018-02-19,2,1154,2018,MONDAY,AUSTIN,TRAVIS,30.44924282,-97.70331318,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16259998,99 - UNKNOWN,2018-02-19,2,1912,2018,MONDAY,OUTSIDE CITY LIMITS,HARRISON,32.48588271,-94.48537866,Yes,RURAL (<5000),INTERSTATE,NOT APPLICABLE,RURAL,NONE
