latitude,longitude,person_injury_severity
30.13857739,-95.60026778,B - SUSPECTED MINOR INJURY
30.67816605,-97.31444887,B - SUSPECTED MINOR INJURY
32.93849017,-97.58660551,99 - UNKNOWN
29.77727909,-95.84290798,A - SUSPECTED SERIOUS INJURY
30.30060477,-97.75914246,B - SUSPECTED MINOR INJURY
29.99633089,-94.10901108,B - SUSPECTED MINOR INJURY
35.20614235,-101.79486753,B - SUSPECTED MINOR INJURY
32.96192422,-96.77096172,A - SUSPECTED SERIOUS INJURY
29.56895485,-95.77355299,C - POSSIBLE INJURY
26.19910104,-98.31256704,B - SUSPECTED MINOR INJURY
27.70253955,-97.35977655,C - POSSIBLE INJURY
33.22001685,-96.64554609,C - POSSIBLE INJURY
29.70754602,-95.40272434,B - SUSPECTED MINOR INJURY
32.96940657,-96.97375904,C - POSSIBLE INJURY
31.15531676,-97.32467209,B - SUSPECTED MINOR INJURY
30.5389846,-96.09032124,B - SUSPECTED MINOR INJURY
29.16969472,-98.52638147,C - POSSIBLE INJURY
31.59506168,-97.10915994,B - SUSPECTED MINOR INJURY
33.01259076,-96.79795753,N - NOT INJURED
29.39808299,-98.6463549,B - SUSPECTED MINOR INJURY
32.03458384,-102.1475202,B - SUSPECTED MINOR INJURY
29.69361981,-95.3231731,C - POSSIBLE INJURY
no data,no data,C - POSSIBLE INJURY
29.55701619,-98.26479827,C - POSSIBLE INJURY
no data,no data,N - NOT INJURED
30.51659814,-97.68237686,B - SUSPECTED MINOR INJURY
25.96737389,-97.51368906,C - POSSIBLE INJURY
31.12181493,-97.77451589,B - SUSPECTED MINOR INJURY
33.71466794,-96.13915517,K - FATAL INJURY
35.8653717,-101.97319031,B - SUSPECTED MINOR INJURY
30.31594145,-97.70765972,B - SUSPECTED MINOR INJURY
no data,no data,C - POSSIBLE INJURY
33.85557296,-98.53603054,B - SUSPECTED MINOR INJURY
32.48469717,-100.40890601,C - POSSIBLE INJURY
32.91849719,-97.27199244,99 - UNKNOWN
32.77694456,-96.69645999,A - SUSPECTED SERIOUS INJURY
29.79760352,-95.45046144,A - SUSPECTED SERIOUS INJURY
29.7976026,-95.45046167,A - SUSPECTED SERIOUS INJURY
28.88248275,-99.11174937,A - SUSPECTED SERIOUS INJURY
31.75302108,-106.27735616,A - SUSPECTED SERIOUS INJURY
30.03785863,-95.8736698,B - SUSPECTED MINOR INJURY
30.24632975,-95.32224428,B - SUSPECTED MINOR INJURY
32.1297765,-97.37340054,N - NOT INJURED
32.15795907,-97.40746158,N - NOT INJURED
29.56799889,-98.33310699,B - SUSPECTED MINOR INJURY
30.76178551,-98.64984894,A - SUSPECTED SERIOUS INJURY
35.1327027,-101.89870708,K - FATAL INJURY
29.58826276,-98.62112643,A - SUSPECTED SERIOUS INJURY
29.8530069,-97.97298315,A - SUSPECTED SERIOUS INJURY
29.19711492,-95.42451309,B - SUSPECTED MINOR INJURY
29.83632389,-96.02278246,N - NOT INJURED
29.91866776,-95.63772093,B - SUSPECTED MINOR INJURY
29.7642087,-95.21291776,A - SUSPECTED SERIOUS INJURY
29.69916038,-96.52781783,B - SUSPECTED MINOR INJURY
29.80147047,-98.1686984,A - SUSPECTED SERIOUS INJURY
29.91728104,-95.64763572,B - SUSPECTED MINOR INJURY
31.71735756,-106.26988362,B - SUSPECTED MINOR INJURY
30.12623816,-93.85079045,B - SUSPECTED MINOR INJURY
29.4390558,-98.47921325,99 - UNKNOWN
32.76050341,-97.41494223,C - POSSIBLE INJURY
32.95547449,-97.0479767,B - SUSPECTED MINOR INJURY
30.07914439,-95.42350172,B - SUSPECTED MINOR INJURY
32.71417338,-96.95152281,B - SUSPECTED MINOR INJURY
30.07675701,-97.85808733,B - SUSPECTED MINOR INJURY
no data,no data,A - SUSPECTED SERIOUS INJURY
32.70994424,-96.2583227,C - POSSIBLE INJURY
30.0628847,-94.1110934,C - POSSIBLE INJURY
31.88864442,-102.49611329,A - SUSPECTED SERIOUS INJURY
29.80312349,-95.54495782,B - SUSPECTED MINOR INJURY
32.89439162,-96.6491184,B - SUSPECTED MINOR INJURY
29.73400702,-95.23278535,N - NOT INJURED
32.26238373,-101.44181242,B - SUSPECTED MINOR INJURY
29.95571052,-97.87765209,B - SUSPECTED MINOR INJURY
31.12383782,-97.77010743,N - NOT INJURED
26.10557663,-97.43533966,B - SUSPECTED MINOR INJURY
29.88369477,-95.13038013,B - SUSPECTED MINOR INJURY
31.6029524,-97.62433526,N - NOT INJURED
29.85269968,-95.16345433,A - SUSPECTED SERIOUS INJURY
32.97940301,-97.77657847,B - SUSPECTED MINOR INJURY
29.38544901,-98.51227807,C - POSSIBLE INJURY
29.67794697,-95.41253165,A - SUSPECTED SERIOUS INJURY
29.36132951,-98.52282818,C - POSSIBLE INJURY
no data,no data,A - SUSPECTED SERIOUS INJURY
33.12664886,-96.72882062,C - POSSIBLE INJURY
33.14128506,-95.56854257,K - FATAL INJURY
32.66696369,-95.60309843,K - FATAL INJURY
33.31960436,-98.18679296,K - FATAL INJURY
32.98917474,-96.82881731,B - SUSPECTED MINOR INJURY
29.77699714,-95.40469343,A - SUSPECTED SERIOUS INJURY
31.93268612,-102.36323657,A - SUSPECTED SERIOUS INJURY
32.27121448,-99.79510185,B - SUSPECTED MINOR INJURY
30.3407857,-98.13541878,B - SUSPECTED MINOR INJURY
32.74638102,-96.6128515,A - SUSPECTED SERIOUS INJURY
30.59148365,-95.13568781,A - SUSPECTED SERIOUS INJURY
29.27304634,-94.82961038,A - SUSPECTED SERIOUS INJURY
30.46337781,-96.05446933,B - SUSPECTED MINOR INJURY
29.54025197,-98.56996321,N - NOT INJURED
28.67411793,-98.26381294,B - SUSPECTED MINOR INJURY
30.10672253,-93.72725102,A - SUSPECTED SERIOUS INJURY
30.45802475,-97.98057239,N - NOT INJURED
32.53540617,-97.27639851,A - SUSPECTED SERIOUS INJURY
30.40101475,-97.54546251,C - POSSIBLE INJURY
33.45072061,-94.14320913,B - SUSPECTED MINOR INJURY
27.79771997,-97.4078343,B - SUSPECTED MINOR INJURY
33.84071217,-96.8962719,A - SUSPECTED SERIOUS INJURY
29.65191481,-95.07352471,A - SUSPECTED SERIOUS INJURY
33.1948042,-96.79459762,C - POSSIBLE INJURY
26.18231904,-97.7853922,N - NOT INJURED
32.50393709,-94.7041888,N - NOT INJURED
29.62537483,-95.28543005,C - POSSIBLE INJURY
32.96082422,-96.72459258,B - SUSPECTED MINOR INJURY
30.61484282,-96.32776292,B - SUSPECTED MINOR INJURY
27.8115236,-97.39606946,B - SUSPECTED MINOR INJURY
31.08861237,-97.71516469,B - SUSPECTED MINOR INJURY
31.75160082,-106.35410147,B - SUSPECTED MINOR INJURY
35.26522846,-101.75161543,A - SUSPECTED SERIOUS INJURY
29.77232561,-94.98818939,A - SUSPECTED SERIOUS INJURY
26.20867739,-98.23478047,B - SUSPECTED MINOR INJURY
29.00185347,-95.38787746,B - SUSPECTED MINOR INJURY
33.11497418,-96.65001035,A - SUSPECTED SERIOUS INJURY
29.44545497,-98.5579623,C - POSSIBLE INJURY
32.79392499,-97.91032942,A - SUSPECTED SERIOUS INJURY
32.94014682,-96.75013068,A - SUSPECTED SERIOUS INJURY
26.18893968,-98.22821099,B - SUSPECTED MINOR INJURY
30.03900484,-98.14621237,B - SUSPECTED MINOR INJURY
33.66793804,-101.9400407,A - SUSPECTED SERIOUS INJURY
31.86326466,-102.53435122,A - SUSPECTED SERIOUS INJURY
29.03721128,-95.46500634,B - SUSPECTED MINOR INJURY
29.71612511,-95.31702947,A - SUSPECTED SERIOUS INJURY
32.84278715,-97.86126085,N - NOT INJURED
30.08525488,-93.98784286,B - SUSPECTED MINOR INJURY
30.08370614,-95.18981745,A - SUSPECTED SERIOUS INJURY
32.61015427,-96.56851264,B - SUSPECTED MINOR INJURY
33.46655051,-94.28355877,A - SUSPECTED SERIOUS INJURY
30.25841478,-97.75010246,N - NOT INJURED
32.30842596,-97.73859794,A - SUSPECTED SERIOUS INJURY
32.91901396,-96.9751438,A - SUSPECTED SERIOUS INJURY
29.59939075,-97.93432531,B - SUSPECTED MINOR INJURY
30.94500067,-97.81593287,N - NOT INJURED
30.97383201,-97.4349104,A - SUSPECTED SERIOUS INJURY
28.97497608,-95.37290866,N - NOT INJURED
32.83518837,-96.80439257,N - NOT INJURED
29.4977918,-98.32142039,B - SUSPECTED MINOR INJURY
30.19151345,-95.20739027,A - SUSPECTED SERIOUS INJURY
no data,no data,A - SUSPECTED SERIOUS INJURY
29.96652912,-98.43996257,B - SUSPECTED MINOR INJURY
32.4436272,-97.11015561,B - SUSPECTED MINOR INJURY
30.96087734,-97.90419224,B - SUSPECTED MINOR INJURY
29.39135498,-98.48062232,B - SUSPECTED MINOR INJURY
30.40483292,-97.69814361,A - SUSPECTED SERIOUS INJURY
29.54285799,-98.41382078,B - SUSPECTED MINOR INJURY
30.260922,-98.05943703,K - FATAL INJURY
29.82233067,-95.54133304,C - POSSIBLE INJURY
no data,no data,A - SUSPECTED SERIOUS INJURY
30.21705856,-97.52776523,A - SUSPECTED SERIOUS INJURY
33.46002983,-96.47485078,A - SUSPECTED SERIOUS INJURY
32.73737426,-96.63712261,K - FATAL INJURY
32.41687832,-94.30988878,A - SUSPECTED SERIOUS INJURY
33.67041856,-96.60948018,C - POSSIBLE INJURY
30.39591813,-94.25854078,B - SUSPECTED MINOR INJURY
31.74105254,-106.26757084,N - NOT INJURED
30.02742075,-97.87256754,B - SUSPECTED MINOR INJURY
32.66224427,-96.56296264,B - SUSPECTED MINOR INJURY
31.79343107,-106.39574023,C - POSSIBLE INJURY
33.05599817,-96.77030896,B - SUSPECTED MINOR INJURY
29.49965401,-98.31780702,B - SUSPECTED MINOR INJURY
26.3265556,-98.10895496,B - SUSPECTED MINOR INJURY
29.80948024,-95.30960583,A - SUSPECTED SERIOUS INJURY
33.62033463,-96.69823456,99 - UNKNOWN
31.80418988,-106.28550165,N - NOT INJURED
32.86715426,-97.20747646,A - SUSPECTED SERIOUS INJURY
31.6014295,-97.36076371,N - NOT INJURED
no data,no data,B - SUSPECTED MINOR INJURY
32.95460512,-96.6179351,N - NOT INJURED
29.73062134,-95.41866686,C - POSSIBLE INJURY
30.10128681,-97.87491121,A - SUSPECTED SERIOUS INJURY
31.0438715,-97.45614901,B - SUSPECTED MINOR INJURY
28.86963698,-95.94801308,A - SUSPECTED SERIOUS INJURY
32.6867284,-99.93071007,B - SUSPECTED MINOR INJURY
32.55798293,-95.01050176,B - SUSPECTED MINOR INJURY
29.77192481,-95.78232508,C - POSSIBLE INJURY
31.30725104,-97.24477208,A - SUSPECTED SERIOUS INJURY
29.71194,-95.15350315,99 - UNKNOWN
32.76569023,-97.31689758,B - SUSPECTED MINOR INJURY
33.60219433,-101.81843127,B - SUSPECTED MINOR INJURY
32.56994839,-97.15208532,K - FATAL INJURY
32.76638659,-97.31807956,C - POSSIBLE INJURY
29.66739103,-95.56009181,C - POSSIBLE INJURY
30.18365759,-95.68252456,B - SUSPECTED MINOR INJURY
35.53187015,-101.10794079,N - NOT INJURED
32.57984156,-96.31923775,K - FATAL INJURY
32.91154076,-96.89795511,K - FATAL INJURY
32.47069583,-100.37677732,A - SUSPECTED SERIOUS INJURY
29.73734036,-98.68581725,C - POSSIBLE INJURY
35.21610193,-101.38081875,B - SUSPECTED MINOR INJURY
29.73734036,-98.68581725,N - NOT INJURED
29.38956512,-95.13819595,C - POSSIBLE INJURY
32.11455904,-95.81312384,B - SUSPECTED MINOR INJURY
30.47038951,-99.79393717,C - POSSIBLE INJURY
29.58979594,-95.23973634,B - SUSPECTED MINOR INJURY
31.55670538,-100.54744705,B - SUSPECTED MINOR INJURY
29.6569821,-95.10472212,A - SUSPECTED SERIOUS INJURY
31.03676509,-98.71629129,A - SUSPECTED SERIOUS INJURY
32.69788362,-95.06819139,C - POSSIBLE INJURY
31.10030895,-97.51665706,C - POSSIBLE INJURY
32.94678422,-96.81923256,A - SUSPECTED SERIOUS INJURY
27.91712918,-97.28027192,K - FATAL INJURY
33.07660138,-97.38330737,B - SUSPECTED MINOR INJURY
32.75975429,-97.10234586,B - SUSPECTED MINOR INJURY
29.70251878,-95.49751252,C - POSSIBLE INJURY
32.83717744,-97.07510261,B - SUSPECTED MINOR INJURY
34.06804526,-98.56620106,N - NOT INJURED
31.43129337,-100.50029173,A - SUSPECTED SERIOUS INJURY
32.7977643,-96.66966298,A - SUSPECTED SERIOUS INJURY
32.79885135,-96.67311876,99 - UNKNOWN
27.98646494,-98.09340872,B - SUSPECTED MINOR INJURY
30.10174129,-95.65095274,N - NOT INJURED
29.16698398,-95.8023476,C - POSSIBLE INJURY
32.73867428,-97.31729056,B - SUSPECTED MINOR INJURY
29.6964328,-95.82479197,B - SUSPECTED MINOR INJURY
33.52758434,-101.85304128,B - SUSPECTED MINOR INJURY
26.69485794,-97.76858552,A - SUSPECTED SERIOUS INJURY
29.95345554,-98.26108712,B - SUSPECTED MINOR INJURY
33.54452562,-96.27328934,C - POSSIBLE INJURY
31.94740446,-97.89860604,C - POSSIBLE INJURY
30.39639537,-96.08756165,B - SUSPECTED MINOR INJURY
27.74548759,-97.40102989,A - SUSPECTED SERIOUS INJURY
27.69819333,-97.37593763,C - POSSIBLE INJURY
31.65279857,-106.29679172,A - SUSPECTED SERIOUS INJURY
no data,no data,C - POSSIBLE INJURY
32.72085429,-97.28639245,C - POSSIBLE INJURY
29.53651495,-98.48436231,A - SUSPECTED SERIOUS INJURY
32.699042,-97.12300081,C - POSSIBLE INJURY
29.56345128,-98.33772926,B - SUSPECTED MINOR INJURY
32.62859618,-94.40407231,K - FATAL INJURY
no data,no data,A - SUSPECTED SERIOUS INJURY
31.07358113,-97.67994979,C - POSSIBLE INJURY
31.07083701,-97.66985581,K - FATAL INJURY
29.66419118,-95.46409458,C - POSSIBLE INJURY
no data,no data,B - SUSPECTED MINOR INJURY
31.77700484,-106.43016034,A - SUSPECTED SERIOUS INJURY
32.72858452,-97.2486265,N - NOT INJURED
29.01332496,-95.39599311,C - POSSIBLE INJURY
30.03946797,-93.87805004,A - SUSPECTED SERIOUS INJURY
29.8015548,-95.43023807,C - POSSIBLE INJURY
no data,no data,A - SUSPECTED SERIOUS INJURY
31.58870338,-97.19735288,A - SUSPECTED SERIOUS INJURY
31.82026207,-94.19183547,C - POSSIBLE INJURY
29.90809977,-95.32796559,B - SUSPECTED MINOR INJURY
30.19729786,-97.78844089,B - SUSPECTED MINOR INJURY
27.43641183,-99.47515544,C - POSSIBLE INJURY
30.12122551,-94.16579445,A - SUSPECTED SERIOUS INJURY
28.95652497,-95.35844312,A - SUSPECTED SERIOUS INJURY
29.94009712,-97.93545567,99 - UNKNOWN
26.18816892,-98.09995363,A - SUSPECTED SERIOUS INJURY
30.1940569,-98.03711493,K - FATAL INJURY
29.73964033,-98.08484834,B - SUSPECTED MINOR INJURY
29.5236434,-95.81160582,B - SUSPECTED MINOR INJURY
33.73852684,-95.5467085,B - SUSPECTED MINOR INJURY
29.92324705,-95.5558585,B - SUSPECTED MINOR INJURY
35.20734406,-101.87575115,B - SUSPECTED MINOR INJURY
28.10675773,-97.04539795,B - SUSPECTED MINOR INJURY
32.43785084,-95.72400932,A - SUSPECTED SERIOUS INJURY
27.89926386,-97.16054538,C - POSSIBLE INJURY
27.7975561,-97.40867008,A - SUSPECTED SERIOUS INJURY
27.72513519,-97.43790562,C - POSSIBLE INJURY
31.86151435,-94.38097541,A - SUSPECTED SERIOUS INJURY
