person_age,person_gender,person_ethnicity,person_injury_severity,driver_license_class,person_age
47,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,47
33,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,33
22,2 - FEMALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,22
45,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,45
51,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,51
61,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,BM - CLASS B AND M,61
27,1 - MALE,B - BLACK,B - SUSPECTED MINOR INJURY,C - CLASS C,27
75,1 - MALE,B - BLACK,C - POSSIBLE INJURY,CM - CLASS C AND M,75
59,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,AM - CLASS A AND M,59
29,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,29
65,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,65
49,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,49
33,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,33
63,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,63
23,1 - MALE,W - WHITE,C - POSSIBLE INJURY,AM - CLASS A AND M,23
65,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,65
36,1 - MALE,B - BLACK,C - POSSIBLE INJURY,CM - CLASS C AND M,36
41,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,41
55,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,55
21,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,21
70,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,70
20,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,20
57,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,57
26,1 - MALE,W - WHITE,N - NOT INJURED,AM - CLASS A AND M,26
22,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,22
40,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,40
23,1 - MALE,A - ASIAN,C - POSSIBLE INJURY,M - CLASS M,23
33,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,33
22,1 - MALE,H - HISPANIC,N - NOT INJURED,C - CLASS C,22
36,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,36
27,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,27
23,1 - MALE,I - AMER. INDIAN/ALASKAN NATIVE,N - NOT INJURED,C - CLASS C,23
55,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,C - CLASS C,55
49,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,49
48,1 - MALE,W - WHITE,K - FATAL INJURY,AM - CLASS A AND M,48
23,2 - FEMALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,23
41,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,41
24,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,24
29,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,29
58,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,AM - CLASS A AND M,58
25,2 - FEMALE,B - BLACK,C - POSSIBLE INJURY,C - CLASS C,25
39,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,39
52,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,AM - CLASS A AND M,52
23,1 - MALE,B - BLACK,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,23
49,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,49
64,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,64
45,1 - MALE,B - BLACK,B - SUSPECTED MINOR INJURY,A - CLASS A,45
29,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,29
21,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,21
26,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,98 - OTHER/OUT OF STATE,26
67,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,67
62,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,AM - CLASS A AND M,62
42,2 - FEMALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,42
33,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,98 - OTHER/OUT OF STATE,33
57,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,57
27,1 - MALE,B - BLACK,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,27
39,1 - MALE,H - HISPANIC,N - NOT INJURED,A - CLASS A,39
28,99 - UNKNOWN,no data,C - POSSIBLE INJURY,CM - CLASS C AND M,28
30,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,30
54,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,A - CLASS A,54
no data,99 - UNKNOWN,99 - UNKNOWN,99 - UNKNOWN,99 - UNKNOWN,no data
37,1 - MALE,H - HISPANIC,N - NOT INJURED,CM - CLASS C AND M,37
27,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,27
26,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,26
23,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,23
51,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,51
31,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,31
23,1 - MALE,W - WHITE,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,23
59,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,59
38,1 - MALE,W - WHITE,99 - UNKNOWN,CM - CLASS C AND M,38
54,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,54
19,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,98 - OTHER/OUT OF STATE,19
60,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,60
no data,1 - MALE,W - WHITE,99 - UNKNOWN,99 - UNKNOWN,no data
71,1 - MALE,B - BLACK,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,71
32,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,32
18,1 - MALE,W - WHITE,K - FATAL INJURY,C - CLASS C,18
23,1 - MALE,W - WHITE,N - NOT INJURED,C - CLASS C,23
22,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,22
44,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,44
26,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,5 - UNLICENSED,26
25,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,25
21,1 - MALE,W - WHITE,99 - UNKNOWN,C - CLASS C,21
18,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,18
22,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,22
21,1 - MALE,W - WHITE,N - NOT INJURED,5 - UNLICENSED,21
41,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,5 - UNLICENSED,41
33,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,B - CLASS B,33
59,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,AM - CLASS A AND M,59
43,1 - MALE,W - WHITE,N - NOT INJURED,AM - CLASS A AND M,43
46,1 - MALE,B - BLACK,N - NOT INJURED,98 - OTHER/OUT OF STATE,46
50,1 - MALE,W - WHITE,N - NOT INJURED,C - CLASS C,50
30,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,30
20,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,20
70,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,70
33,1 - MALE,B - BLACK,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,33
61,1 - MALE,W - WHITE,C - POSSIBLE INJURY,M - CLASS M,61
24,1 - MALE,W - WHITE,C - POSSIBLE INJURY,A - CLASS A,24
28,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,28
23,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,23
28,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,28
22,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,22
39,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,39
26,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,26
45,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,45
23,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,23
61,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,61
39,1 - MALE,A - ASIAN,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,39
44,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,44
53,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,53
35,1 - MALE,99 - UNKNOWN,B - SUSPECTED MINOR INJURY,C - CLASS C,35
27,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,27
25,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,AM - CLASS A AND M,25
48,1 - MALE,98 - OTHER,B - SUSPECTED MINOR INJURY,C - CLASS C,48
36,1 - MALE,W - WHITE,N - NOT INJURED,A - CLASS A,36
37,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,37
29,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,29
37,2 - FEMALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,37
12,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,12
23,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,23
18,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,18
18,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,18
63,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,63
19,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,no data,19
45,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,45
24,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,24
43,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,43
23,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,23
36,1 - MALE,W - WHITE,K - FATAL INJURY,C - CLASS C,36
43,1 - MALE,B - BLACK,B - SUSPECTED MINOR INJURY,C - CLASS C,43
32,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,AM - CLASS A AND M,32
22,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,22
49,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,49
29,1 - MALE,H - HISPANIC,99 - UNKNOWN,5 - UNLICENSED,29
57,1 - MALE,B - BLACK,C - POSSIBLE INJURY,C - CLASS C,57
45,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,45
26,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,26
39,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,AM - CLASS A AND M,39
19,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,C - CLASS C,19
30,1 - MALE,98 - OTHER,A - SUSPECTED SERIOUS INJURY,C - CLASS C,30
57,1 - MALE,B - BLACK,N - NOT INJURED,98 - OTHER/OUT OF STATE,57
63,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,no data,63
20,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,20
43,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,43
50,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,50
49,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,49
25,1 - MALE,B - BLACK,C - POSSIBLE INJURY,5 - UNLICENSED,25
25,1 - MALE,W - WHITE,N - NOT INJURED,C - CLASS C,25
58,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,58
34,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,34
41,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,41
53,1 - MALE,99 - UNKNOWN,B - SUSPECTED MINOR INJURY,99 - UNKNOWN,53
23,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,23
80,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,80
53,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,53
56,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,56
31,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,31
35,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,35
22,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,22
51,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,51
41,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,41
68,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,68
21,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,21
41,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,41
32,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,32
68,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,68
36,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,36
61,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,98 - OTHER/OUT OF STATE,61
48,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,48
41,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,41
29,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,98 - OTHER/OUT OF STATE,29
28,1 - MALE,A - ASIAN,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,28
32,1 - MALE,W - WHITE,99 - UNKNOWN,CM - CLASS C AND M,32
62,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,62
19,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,19
39,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,98 - OTHER/OUT OF STATE,39
35,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,35
62,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,62
19,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,19
24,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,24
26,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,26
35,2 - FEMALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,35
30,1 - MALE,A - ASIAN,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,30
17,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,17
22,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,22
56,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,56
17,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,17
31,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,31
28,1 - MALE,H - HISPANIC,N - NOT INJURED,CM - CLASS C AND M,28
22,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,A - CLASS A,22
26,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,26
23,1 - MALE,B - BLACK,C - POSSIBLE INJURY,C - CLASS C,23
24,1 - MALE,B - BLACK,C - POSSIBLE INJURY,C - CLASS C,24
22,1 - MALE,98 - OTHER,C - POSSIBLE INJURY,CM - CLASS C AND M,22
58,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,58
32,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,32
60,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,CM - CLASS C AND M,60
22,2 - FEMALE,B - BLACK,B - SUSPECTED MINOR INJURY,C - CLASS C,22
53,1 - MALE,W - WHITE,K - FATAL INJURY,98 - OTHER/OUT OF STATE,53
24,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,24
46,1 - MALE,B - BLACK,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,46
47,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,47
21,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,21
26,1 - MALE,W - WHITE,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,26
no data,1 - MALE,99 - UNKNOWN,99 - UNKNOWN,99 - UNKNOWN,no data
27,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,27
21,1 - MALE,B - BLACK,A - SUSPECTED SERIOUS INJURY,C - CLASS C,21
29,1 - MALE,98 - OTHER,A - SUSPECTED SERIOUS INJURY,C - CLASS C,29
50,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,50
34,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,98 - OTHER/OUT OF STATE,34
40,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,40
32,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,32
68,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,68
55,1 - MALE,W - WHITE,N - NOT INJURED,C - CLASS C,55
45,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,45
49,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,AM - CLASS A AND M,49
30,1 - MALE,W - WHITE,K - FATAL INJURY,C - CLASS C,30
30,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,C - CLASS C,30
35,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,35
51,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,AM - CLASS A AND M,51
24,1 - MALE,H - HISPANIC,N - NOT INJURED,A - CLASS A,24
41,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,41
41,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,41
27,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,BM - CLASS B AND M,27
29,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,29
62,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,62
37,2 - FEMALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,37
21,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,21
no data,99 - UNKNOWN,99 - UNKNOWN,99 - UNKNOWN,99 - UNKNOWN,no data
36,1 - MALE,W - WHITE,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,36
21,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,21
21,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,21
39,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,39
65,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,65
38,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,38
49,2 - FEMALE,B - BLACK,C - POSSIBLE INJURY,CM - CLASS C AND M,49
14,1 - MALE,B - BLACK,C - POSSIBLE INJURY,99 - UNKNOWN,14
27,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,27
44,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,44
42,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,42
56,1 - MALE,W - WHITE,N - NOT INJURED,5 - UNLICENSED,56
21,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,21
34,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,34
26,1 - MALE,H - HISPANIC,N - NOT INJURED,CM - CLASS C AND M,26
26,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,26
50,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,50
40,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,40
22,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,22
35,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,35
48,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,48
31,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,31
59,1 - MALE,B - BLACK,C - POSSIBLE INJURY,CM - CLASS C AND M,59
45,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,AM - CLASS A AND M,45
22,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,22
40,1 - MALE,W - WHITE,K - FATAL INJURY,C - CLASS C,40
71,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,71
74,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,74
37,1 - MALE,98 - OTHER,B - SUSPECTED MINOR INJURY,A - CLASS A,37
34,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,C - CLASS C,34
52,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,98 - OTHER/OUT OF STATE,52
