crash_id,person_age,charge,person_ethnicity,financial_responsibility_type,crash_date,day_of_week,person_gender,person_helmet,driver_license_class,driver_license_endorsements,driver_drug_test_result,driver_license_state,driver_license_type,person_injury_severity
16211875,57,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-06,SATURDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,N - NOT INJURED
16204997,18,UNSAFE SPEED,H - HISPANIC,2 - PROOF OF LIABILITY INSURANCE,2018-01-07,SUNDAY,1 - MALE,"4 - WORN, UNK DAMAGE",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16212108,no data,NO CHARGES,B - BLACK,no data,2018-01-07,SUNDAY,1 - MALE,1 - NOT WORN,99 - UNKNOWN,UNKNOWN,97 - NOT APPLICABLE,UN - UNKNOWN,99 - UNKNOWN,99 - UNKNOWN
16978915,48,NO CHARGES,H - HISPANIC,2 - PROOF OF LIABILITY INSURANCE,2018-01-07,SUNDAY,1 - MALE,"2 - WORN, DAMAGED",CM - CLASS C AND M,NONE,2 - NEGATIVE,TX - TEXAS,1 - DRIVER LICENSE,K - FATAL INJURY
16189210,34,"M059955, M059955",W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-01-08,MONDAY,1 - MALE,"2 - WORN, DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16193829,47,NO CHARGES,H - HISPANIC,no data,2018-01-08,MONDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,N - NOT INJURED
16195165,28,NO CHARGES,H - HISPANIC,1 - LIABILITY INSURANCE POLICY,2018-01-08,MONDAY,1 - MALE,1 - NOT WORN,C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16196935,23,"TURNED WHEN UNSAFE, NO TX DL CLASS M",H - HISPANIC,1 - LIABILITY INSURANCE POLICY,2018-01-08,MONDAY,2 - FEMALE,1 - NOT WORN,C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16190900,41,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-09,TUESDAY,1 - MALE,"2 - WORN, DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,K - FATAL INJURY
16194513,66,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-09,TUESDAY,1 - MALE,1 - NOT WORN,CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16194515,23,NO CHARGES,W - WHITE,no data,2018-01-09,TUESDAY,1 - MALE,1 - NOT WORN,CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16195540,33,NO CHARGES,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-01-09,TUESDAY,1 - MALE,"2 - WORN, DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16198808,30,NO DL (EXPIRED),W - WHITE,no data,2018-01-09,TUESDAY,1 - MALE,"2 - WORN, DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16980827,21,NO CHARGES,H - HISPANIC,no data,2018-01-09,TUESDAY,1 - MALE,"4 - WORN, UNK DAMAGE",5 - UNLICENSED,UNLICENSED,97 - NOT APPLICABLE,TX - TEXAS,4 - ID CARD,A - SUSPECTED SERIOUS INJURY
16190950,26,NO CHARGES,B - BLACK,no data,2018-01-10,WEDNESDAY,1 - MALE,"2 - WORN, DAMAGED",C - CLASS C,NONE,2 - NEGATIVE,TX - TEXAS,1 - DRIVER LICENSE,K - FATAL INJURY
16192546,46,NO CHARGES,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-01-10,WEDNESDAY,1 - MALE,"2 - WORN, DAMAGED",98 - OTHER/OUT OF STATE,NONE,97 - NOT APPLICABLE,MT - MONTANA,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16192883,22,NO CHARGES,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-01-10,WEDNESDAY,1 - MALE,"2 - WORN, DAMAGED",CM - CLASS C AND M,NONE,2 - NEGATIVE,TX - TEXAS,1 - DRIVER LICENSE,K - FATAL INJURY
16192893,44,NO CHARGES,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-01-10,WEDNESDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16193187,40,NO CHARGES,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-01-10,WEDNESDAY,1 - MALE,"2 - WORN, DAMAGED",5 - UNLICENSED,UNLICENSED,97 - NOT APPLICABLE,no data,5 - UNLICENSED,A - SUSPECTED SERIOUS INJURY
16192161,38,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-11,THURSDAY,2 - FEMALE,"2 - WORN, DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16193412,20,NO CHARGES,B - BLACK,no data,2018-01-11,THURSDAY,1 - MALE,"4 - WORN, UNK DAMAGE",99 - UNKNOWN,UNKNOWN,97 - NOT APPLICABLE,UN - UNKNOWN,99 - UNKNOWN,N - NOT INJURED
16196387,21,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-11,THURSDAY,1 - MALE,"4 - WORN, UNK DAMAGE",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16196864,54,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-11,THURSDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16194597,40,NO CHARGES,H - HISPANIC,1 - LIABILITY INSURANCE POLICY,2018-01-12,FRIDAY,1 - MALE,1 - NOT WORN,C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16195657,60,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-12,FRIDAY,1 - MALE,1 - NOT WORN,CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16197960,28,NO CHARGES,W - WHITE,no data,2018-01-12,FRIDAY,1 - MALE,"2 - WORN, DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,K - FATAL INJURY
16195826,34,NO CHARGES,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-01-13,SATURDAY,1 - MALE,1 - NOT WORN,CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16196920,22,UNSAFE SPEED,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-01-13,SATURDAY,1 - MALE,"2 - WORN, DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16197141,60,NO CHARGES,B - BLACK,2 - PROOF OF LIABILITY INSURANCE,2018-01-13,SATURDAY,1 - MALE,"3 - WORN, NOT DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,N - NOT INJURED
16201468,56,NO CHARGES,B - BLACK,2 - PROOF OF LIABILITY INSURANCE,2018-01-13,SATURDAY,1 - MALE,"3 - WORN, NOT DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16202353,25,NO CHARGES,H - HISPANIC,2 - PROOF OF LIABILITY INSURANCE,2018-01-13,SATURDAY,1 - MALE,"4 - WORN, UNK DAMAGE",98 - OTHER/OUT OF STATE,NONE,97 - NOT APPLICABLE,WA - WASHINGTON,1 - DRIVER LICENSE,N - NOT INJURED
16207750,28,NO CHARGES,H - HISPANIC,2 - PROOF OF LIABILITY INSURANCE,2018-01-13,SATURDAY,1 - MALE,1 - NOT WORN,A - CLASS A,NONE,97 - NOT APPLICABLE,TX - TEXAS,2 - COMMERCIAL DRIVER LIC.,B - SUSPECTED MINOR INJURY
16195997,17,"FLEEING POLICE OFFICER, NO MOTORCYCLE ENDORSEMENT",W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-14,SUNDAY,1 - MALE,"3 - WORN, NOT DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,N - NOT INJURED
16196704,27,NO CHARGES,I - AMER. INDIAN/ALASKAN NATIVE,no data,2018-01-14,SUNDAY,1 - MALE,"3 - WORN, NOT DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16201236,47,NO CHARGES,W - WHITE,no data,2018-01-14,SUNDAY,1 - MALE,"2 - WORN, DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16201539,33,DRIVING WHILE INTOXICATED 1ST OFFENSE 0.15 OR MORE,H - HISPANIC,2 - PROOF OF LIABILITY INSURANCE,2018-01-14,SUNDAY,1 - MALE,"3 - WORN, NOT DAMAGED",5 - UNLICENSED,UNLICENSED,2 - NEGATIVE,TX - TEXAS,4 - ID CARD,B - SUSPECTED MINOR INJURY
16202512,22,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-14,SUNDAY,2 - FEMALE,"2 - WORN, DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16207275,45,"DRIVING WHILE LICENSE INVALID, FAIL TO MAINT FINANCIAL RESPONSIBILITY, EXPIRED REGISTRATION",W - WHITE,no data,2018-01-14,SUNDAY,1 - MALE,1 - NOT WORN,C - CLASS C,UNLICENSED,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16210409,51,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-14,SUNDAY,1 - MALE,1 - NOT WORN,C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16198322,61,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-15,MONDAY,1 - MALE,"2 - WORN, DAMAGED",BM - CLASS B AND M,"PASSENGER, SCHOOL BUS",97 - NOT APPLICABLE,TX - TEXAS,2 - COMMERCIAL DRIVER LIC.,B - SUSPECTED MINOR INJURY
16199789,27,NO CHARGES,B - BLACK,2 - PROOF OF LIABILITY INSURANCE,2018-01-15,MONDAY,1 - MALE,"3 - WORN, NOT DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16206294,75,NO CHARGES,B - BLACK,1 - LIABILITY INSURANCE POLICY,2018-01-15,MONDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16209550,59,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-15,MONDAY,1 - MALE,"3 - WORN, NOT DAMAGED",AM - CLASS A AND M,"PASSENGER, TANK VEHICLE, HAZARDOUS MATERIALS, DOUBLE/TRIPLE TRAILER",97 - NOT APPLICABLE,TX - TEXAS,2 - COMMERCIAL DRIVER LIC.,B - SUSPECTED MINOR INJURY
16259326,29,OPERATE UNREGISTERD MOTOR VEHICLE,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-01-15,MONDAY,1 - MALE,"2 - WORN, DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,N - NOT INJURED
16333091,65,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-15,MONDAY,1 - MALE,"2 - WORN, DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16205342,49,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-17,WEDNESDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16205706,33,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-17,WEDNESDAY,1 - MALE,"2 - WORN, DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16203652,63,FAIL TO CONTROL SPEED (WRECK)(PROPERTY DAMAGE)  TC 545.351 *,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-18,THURSDAY,1 - MALE,"2 - WORN, DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16208100,23,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-19,FRIDAY,1 - MALE,"2 - WORN, DAMAGED",AM - CLASS A AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,2 - COMMERCIAL DRIVER LIC.,C - POSSIBLE INJURY
16211075,65,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-19,FRIDAY,1 - MALE,"2 - WORN, DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16212293,36,NO CHARGES,B - BLACK,2 - PROOF OF LIABILITY INSURANCE,2018-01-19,FRIDAY,1 - MALE,"4 - WORN, UNK DAMAGE",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16206624,41,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-20,SATURDAY,1 - MALE,1 - NOT WORN,CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16206829,55,NO CHARGES,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-01-20,SATURDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16209449,21,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-20,SATURDAY,1 - MALE,"4 - WORN, UNK DAMAGE",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16254349,70,UNSAFE SPEED,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-20,SATURDAY,1 - MALE,1 - NOT WORN,CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16209160,20,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-21,SUNDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,N - NOT INJURED
16210352,57,NO CHARGES,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-01-21,SUNDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,N - NOT INJURED
16212341,26,DRIVING WHILE INTOXICATED,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-21,SUNDAY,1 - MALE,"3 - WORN, NOT DAMAGED",AM - CLASS A AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,2 - COMMERCIAL DRIVER LIC.,N - NOT INJURED
16212987,22,UNSAFE SPEED,H - HISPANIC,2 - PROOF OF LIABILITY INSURANCE,2018-01-21,SUNDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16602409,40,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-21,SUNDAY,1 - MALE,"4 - WORN, UNK DAMAGE",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,K - FATAL INJURY
16212195,23,NO CHARGES,A - ASIAN,1 - LIABILITY INSURANCE POLICY,2018-01-22,MONDAY,1 - MALE,"3 - WORN, NOT DAMAGED",M - CLASS M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16860426,33,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-22,MONDAY,1 - MALE,"2 - WORN, DAMAGED",5 - UNLICENSED,UNLICENSED,97 - NOT APPLICABLE,no data,5 - UNLICENSED,A - SUSPECTED SERIOUS INJURY
16320457,22,"NO MOTOR CYCLE OPERATOR LICENSE, PASSING/DISREGARD NO PASSING ZONE",H - HISPANIC,2 - PROOF OF LIABILITY INSURANCE,2018-01-26,FRIDAY,1 - MALE,"3 - WORN, NOT DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,N - NOT INJURED
16323750,36,NO CHARGES,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-01-31,WEDNESDAY,1 - MALE,"2 - WORN, DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16259293,27,NO CHARGES,H - HISPANIC,2 - PROOF OF LIABILITY INSURANCE,2018-02-01,THURSDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16255449,23,NO CHARGES,I - AMER. INDIAN/ALASKAN NATIVE,no data,2018-02-03,SATURDAY,1 - MALE,1 - NOT WORN,C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,N - NOT INJURED
16257128,55,NO CHARGES,H - HISPANIC,2 - PROOF OF LIABILITY INSURANCE,2018-02-04,SUNDAY,1 - MALE,1 - NOT WORN,C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16255069,49,NO CHARGES,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-02-09,FRIDAY,1 - MALE,"2 - WORN, DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16268900,48,NO CHARGES,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-02-10,SATURDAY,1 - MALE,1 - NOT WORN,AM - CLASS A AND M,"TANK VEHICLE, HAZARDOUS MATERIALS",97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,K - FATAL INJURY
16270130,23,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-02-10,SATURDAY,2 - FEMALE,1 - NOT WORN,C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16258314,41,DRIVING WHILE INTOXICATED 1ST OFFENSE- 0.15 OR MORE,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-02-11,SUNDAY,1 - MALE,"2 - WORN, DAMAGED",C - CLASS C,NONE,99 - UNKNOWN,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16254987,24,"EVADING ARREST WITH MOTOR VEHICLE / PRIOR CONVICTION, THEFT OF FIREARM, UNAUTHORIZED USE OF MOTOR VEHICLE, UNLAWFUL CARRY OF WEAPON, FELON IN POSSESSION OF FIREARM",W - WHITE,no data,2018-02-13,TUESDAY,1 - MALE,"2 - WORN, DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16258499,29,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-02-13,TUESDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,N - NOT INJURED
16261200,58,NO CHARGES,H - HISPANIC,1 - LIABILITY INSURANCE POLICY,2018-02-13,TUESDAY,1 - MALE,1 - NOT WORN,AM - CLASS A AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16253542,25,NO CHARGES,B - BLACK,2 - PROOF OF LIABILITY INSURANCE,2018-02-15,THURSDAY,2 - FEMALE,1 - NOT WORN,C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16254192,39,"NO VALID TEXAS DRIVER LICENSE, FAILURE TO MAINTAIN FINANCIAL RESPONSIBILITY",H - HISPANIC,no data,2018-02-15,THURSDAY,1 - MALE,"3 - WORN, NOT DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16254203,52,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-02-15,THURSDAY,1 - MALE,1 - NOT WORN,AM - CLASS A AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,2 - COMMERCIAL DRIVER LIC.,B - SUSPECTED MINOR INJURY
16254391,23,NO CHARGES,B - BLACK,no data,2018-02-15,THURSDAY,1 - MALE,"2 - WORN, DAMAGED",98 - OTHER/OUT OF STATE,NONE,97 - NOT APPLICABLE,MO - MISSOURI,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16261729,49,NO CHARGES,W - WHITE,1 - LIABILITY INSURANCE POLICY,2018-02-15,THURSDAY,1 - MALE,1 - NOT WORN,C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16264647,64,UNSAFE SPEED,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-02-15,THURSDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16273456,45,NO CHARGES,B - BLACK,2 - PROOF OF LIABILITY INSURANCE,2018-02-15,THURSDAY,1 - MALE,1 - NOT WORN,A - CLASS A,"TANK VEHICLE, DOUBLE/TRIPLE TRAILER",97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
