,crash_id,person_age,charge,person_ethnicity,crash_date,day_of_week,person_gender,person_helmet,driver_license_class,has_motocycle_endorsment,driver_license_state,driver_license_type,person_injury_severity
47,16207275.0,45,"driving while license invalid, fail to maint financial responsibility, expired registration",w - white,2018-01-14,sunday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
48,16210409.0,51,no charges,w - white,2018-01-14,sunday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
49,16198322.0,61,no charges,w - white,2018-01-15,monday,1 - male,"2 - worn, damaged",bm - class b and m,1,tx - texas,2 - commercial driver lic.,b - suspected minor injury
50,16199789.0,27,no charges,b - black,2018-01-15,monday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
51,16206294.0,75,no charges,b - black,2018-01-15,monday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
52,16209550.0,59,no charges,w - white,2018-01-15,monday,1 - male,"3 - worn, not damaged",am - class a and m,1,tx - texas,2 - commercial driver lic.,b - suspected minor injury
53,16259326.0,29,operate unregisterd motor vehicle,w - white,2018-01-15,monday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,n - not injured
54,16333091.0,65,no charges,w - white,2018-01-15,monday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
55,16205342.0,49,no charges,w - white,2018-01-17,wednesday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
56,16205706.0,33,no charges,w - white,2018-01-17,wednesday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
57,16203652.0,63,fail to control speed (wreck)(property damage)  tc 545.351 *,w - white,2018-01-18,thursday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
58,16208100.0,23,no charges,w - white,2018-01-19,friday,1 - male,"2 - worn, damaged",am - class a and m,1,tx - texas,2 - commercial driver lic.,b - suspected minor injury
59,16211075.0,65,no charges,w - white,2018-01-19,friday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
60,16212293.0,36,no charges,b - black,2018-01-19,friday,1 - male,"4 - worn, unk damage",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
61,16206624.0,41,no charges,w - white,2018-01-20,saturday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
62,16206829.0,55,no charges,w - white,2018-01-20,saturday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
63,16209449.0,21,no charges,w - white,2018-01-20,saturday,1 - male,"4 - worn, unk damage",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
64,16254349.0,70,unsafe speed,w - white,2018-01-20,saturday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
65,16209160.0,20,no charges,w - white,2018-01-21,sunday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,n - not injured
66,16210352.0,57,no charges,w - white,2018-01-21,sunday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,n - not injured
67,16212341.0,26,driving while intoxicated,w - white,2018-01-21,sunday,1 - male,"3 - worn, not damaged",am - class a and m,1,tx - texas,2 - commercial driver lic.,n - not injured
68,16212987.0,22,unsafe speed,h - hispanic,2018-01-21,sunday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
69,16602409.0,40,no charges,w - white,2018-01-21,sunday,1 - male,"4 - worn, unk damage",cm - class c and m,1,tx - texas,1 - driver license,k - fatal injury
70,16212195.0,23,no charges,a - asian,2018-01-22,monday,1 - male,"3 - worn, not damaged",m - class m,1,tx - texas,1 - driver license,b - suspected minor injury
71,16860426.0,33,no charges,w - white,2018-01-22,monday,1 - male,"2 - worn, damaged",5 - unlicensed,0,,5 - unlicensed,a - suspected serious injury
72,16320457.0,22,"no motor cycle operator license, passing/disregard no passing zone",h - hispanic,2018-01-26,friday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,n - not injured
73,16323750.0,36,no charges,w - white,2018-01-31,wednesday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
74,16259293.0,27,no charges,h - hispanic,2018-02-01,thursday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
75,16255449.0,23,no charges,i - amer. indian/alaskan native,2018-02-03,saturday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,n - not injured
76,16257128.0,55,no charges,h - hispanic,2018-02-04,sunday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,a - suspected serious injury
77,16255069.0,49,no charges,w - white,2018-02-09,friday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
78,16268900.0,48,no charges,w - white,2018-02-10,saturday,1 - male,1 - not worn,am - class a and m,1,tx - texas,1 - driver license,k - fatal injury
79,16270130.0,23,no charges,w - white,2018-02-10,saturday,2 - female,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
80,16258314.0,41,driving while intoxicated 1st offense- 0.15 or more,w - white,2018-02-11,sunday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,a - suspected serious injury
81,16254987.0,24,"evading arrest with motor vehicle / prior conviction, theft of firearm, unauthorized use of motor vehicle, unlawful carry of weapon, felon in possession of firearm",w - white,2018-02-13,tuesday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
82,16258499.0,29,no charges,w - white,2018-02-13,tuesday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,n - not injured
83,16261200.0,58,no charges,h - hispanic,2018-02-13,tuesday,1 - male,1 - not worn,am - class a and m,1,tx - texas,1 - driver license,b - suspected minor injury
84,16253542.0,25,no charges,b - black,2018-02-15,thursday,2 - female,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
85,16254192.0,39,"no valid texas driver license, failure to maintain financial responsibility",h - hispanic,2018-02-15,thursday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
86,16254203.0,52,no charges,w - white,2018-02-15,thursday,1 - male,1 - not worn,am - class a and m,1,tx - texas,2 - commercial driver lic.,b - suspected minor injury
87,16254391.0,23,no charges,b - black,2018-02-15,thursday,1 - male,"2 - worn, damaged",98 - other/out of state,0,mo - missouri,1 - driver license,b - suspected minor injury
88,16261729.0,49,no charges,w - white,2018-02-15,thursday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,a - suspected serious injury
89,16264647.0,64,unsafe speed,w - white,2018-02-15,thursday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
90,16273456.0,45,no charges,b - black,2018-02-15,thursday,1 - male,1 - not worn,a - class a,0,tx - texas,1 - driver license,b - suspected minor injury
91,16254725.0,29,no charges,w - white,2018-02-16,friday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,a - suspected serious injury
92,16257931.0,21,"no insurance, dwli- surcharge due/ no tx dl",w - white,2018-02-16,friday,1 - male,1 - not worn,5 - unlicensed,0,tx - texas,4 - id card,b - suspected minor injury
93,16264714.0,26,no charges,w - white,2018-02-16,friday,1 - male,1 - not worn,98 - other/out of state,0,wi - wisconsin,1 - driver license,b - suspected minor injury
94,16264779.0,67,unsafe speed,w - white,2018-02-16,friday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
95,16258442.0,62,no charges,w - white,2018-02-17,saturday,1 - male,1 - not worn,am - class a and m,1,tx - texas,2 - commercial driver lic.,a - suspected serious injury
96,16261379.0,42,unsafe speed,w - white,2018-02-17,saturday,2 - female,"4 - worn, unk damage",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
97,16268261.0,33,no charges,w - white,2018-02-17,saturday,1 - male,1 - not worn,98 - other/out of state,0,ok - oklahoma,1 - driver license,a - suspected serious injury
98,16255550.0,57,unsafe speed,w - white,2018-02-18,sunday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,n - not injured
99,16258089.0,27,no charges,b - black,2018-02-18,sunday,1 - male,"4 - worn, unk damage",98 - other/out of state,0,tn - tennessee,1 - driver license,b - suspected minor injury
100,16258540.0,39,driving while intoxicated/misd,h - hispanic,2018-02-18,sunday,1 - male,99 - unknown if worn,a - class a,0,tx - texas,2 - commercial driver lic.,n - not injured
101,,,,,,,,,,,,,
102,16260717.0,30,"expired registration, no restricted class m license",w - white,2018-02-18,sunday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,a - suspected serious injury
103,16261750.0,54,driving while intoxicated - 2nd,w - white,2018-02-18,sunday,1 - male,1 - not worn,a - class a,0,tx - texas,2 - commercial driver lic.,b - suspected minor injury
105,16264620.0,37,no charges,h - hispanic,2018-02-18,sunday,1 - male,99 - unknown if worn,cm - class c and m,1,tx - texas,1 - driver license,n - not injured
106,16267779.0,27,no charges,w - white,2018-02-18,sunday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
107,16268559.0,26,no charges,h - hispanic,2018-02-18,sunday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
108,16268635.0,23,"no drivers license, unsafe speed",w - white,2018-02-18,sunday,1 - male,1 - not worn,5 - unlicensed,0,tx - texas,4 - id card,a - suspected serious injury
109,16274089.0,51,driving while intoxicated 3rd or more,h - hispanic,2018-02-18,sunday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
110,16277523.0,31,fail to maint financial responsibility,w - white,2018-02-18,sunday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,n - not injured
111,16332636.0,23,no charges,w - white,2018-02-18,sunday,1 - male,"4 - worn, unk damage",98 - other/out of state,0,mn - minnesota,1 - driver license,b - suspected minor injury
112,16258265.0,59,no charges,w - white,2018-02-19,monday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
114,16260336.0,54,no charges,w - white,2018-02-19,monday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
115,16260669.0,19,"failed to drive in single lane, no motorcycle license, failed to maintain financial responsibility",h - hispanic,2018-02-19,monday,1 - male,"3 - worn, not damaged",98 - other/out of state,0,ca - california,1 - driver license,b - suspected minor injury
116,16264348.0,60,"no driver license, fail to maintain financial responsibility, operate unregistered motor vehicle",w - white,2018-02-19,monday,1 - male,"3 - worn, not damaged",5 - unlicensed,0,tx - texas,4 - id card,b - suspected minor injury
118,16271274.0,71,no charges,b - black,2018-02-19,monday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
119,16273508.0,32,no charges,w - white,2018-02-19,monday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,a - suspected serious injury
120,16275784.0,18,no charges,w - white,2018-02-19,monday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,k - fatal injury
121,16259084.0,23,no charges,w - white,2018-02-20,tuesday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,n - not injured
122,16268339.0,22,"no restricted class m license, motor driven cycle",h - hispanic,2018-02-20,tuesday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
123,16273619.0,44,"exp reg, ftmfr, exp dl, no ""m"" endorsement",h - hispanic,2018-02-21,wednesday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
124,16265981.0,26,"no operator's license, no class ""m"" endorsement, fail to maintain financial responsibility",h - hispanic,2018-02-22,thursday,1 - male,"2 - worn, damaged",5 - unlicensed,0,tx - texas,4 - id card,b - suspected minor injury
125,16264962.0,25,dwi 2nd,h - hispanic,2018-02-23,friday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
127,16270560.0,18,no charges,w - white,2018-02-23,friday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
128,16274074.0,22,no charges,w - white,2018-02-24,saturday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
129,16335199.0,21,no charges,w - white,2018-02-24,saturday,1 - male,99 - unknown if worn,5 - unlicensed,0,tx - texas,4 - id card,n - not injured
130,16266845.0,41,unsafe speed,h - hispanic,2018-02-25,sunday,1 - male,"2 - worn, damaged",5 - unlicensed,0,tx - texas,4 - id card,b - suspected minor injury
131,16267359.0,33,no charges,h - hispanic,2018-02-25,sunday,1 - male,"4 - worn, unk damage",b - class b,0,tx - texas,1 - driver license,b - suspected minor injury
132,16271404.0,59,no charges,w - white,2018-02-25,sunday,1 - male,"3 - worn, not damaged",am - class a and m,1,tx - texas,2 - commercial driver lic.,a - suspected serious injury
133,16272445.0,43,driving while intoxicated 1st,w - white,2018-02-25,sunday,1 - male,"3 - worn, not damaged",am - class a and m,1,tx - texas,1 - driver license,n - not injured
134,16277521.0,46,no charges,b - black,2018-02-25,sunday,1 - male,1 - not worn,98 - other/out of state,0,tn - tennessee,1 - driver license,n - not injured
135,16269244.0,50,no charges,w - white,2018-02-26,monday,1 - male,"4 - worn, unk damage",c - class c,0,tx - texas,1 - driver license,n - not injured
136,16269824.0,30,no charges,w - white,2018-02-26,monday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
137,16270187.0,20,"unsafe speed, no drivers license",w - white,2018-02-26,monday,1 - male,"2 - worn, damaged",5 - unlicensed,0,tx - texas,4 - id card,b - suspected minor injury
138,16270672.0,70,no charges,w - white,2018-02-26,monday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
139,16271436.0,33,no charges,b - black,2018-02-26,monday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
140,16274868.0,61,no charges,w - white,2018-02-26,monday,1 - male,"3 - worn, not damaged",m - class m,1,tx - texas,1 - driver license,b - suspected minor injury
141,16343885.0,24,"fail to control speed, no restricted class m license",w - white,2018-02-26,monday,1 - male,1 - not worn,a - class a,0,tx - texas,2 - commercial driver lic.,b - suspected minor injury
142,16274642.0,28,no charges,w - white,2018-02-27,tuesday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
143,16274753.0,23,fail to control speed,w - white,2018-02-27,tuesday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
144,16274933.0,28,fail to control speed,w - white,2018-02-27,tuesday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
145,16277194.0,22,no charges,h - hispanic,2018-02-27,tuesday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
146,16278483.0,39,"no driver license, failed to maintain single lane",h - hispanic,2018-02-27,tuesday,1 - male,"2 - worn, damaged",5 - unlicensed,0,,5 - unlicensed,a - suspected serious injury
147,16273336.0,26,no charges,w - white,2018-02-28,wednesday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
148,16274829.0,45,no charges,w - white,2018-02-28,wednesday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
149,16275519.0,23,no charges,h - hispanic,2018-02-28,wednesday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
150,16319019.0,61,no charges,w - white,2018-02-28,wednesday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,k - fatal injury
151,16396034.0,39,no charges,a - asian,2018-02-28,wednesday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
152,16275247.0,44,no charges,h - hispanic,2018-03-01,thursday,1 - male,"4 - worn, unk damage",98 - other/out of state,0,nm - new mexico,1 - driver license,b - suspected minor injury
153,16275394.0,53,no charges,w - white,2018-03-01,thursday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
154,16278379.0,35,,99 - unknown,2018-03-03,saturday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
155,16278512.0,27,"no valid texas driver license, failure to maintain financial responsibility",w - white,2018-03-03,saturday,1 - male,"2 - worn, damaged",5 - unlicensed,0,,5 - unlicensed,b - suspected minor injury
156,16331218.0,25,no charges,w - white,2018-03-04,sunday,1 - male,"4 - worn, unk damage",am - class a and m,1,tx - texas,2 - commercial driver lic.,b - suspected minor injury
157,16327012.0,48,no charges,98 - other,2018-03-09,friday,1 - male,99 - unknown if worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
158,16321960.0,36,no class m endorsement,w - white,2018-03-10,saturday,1 - male,1 - not worn,a - class a,0,tx - texas,2 - commercial driver lic.,n - not injured
159,16849747.0,37,no charges,h - hispanic,2018-03-10,saturday,1 - male,"2 - worn, damaged",98 - other/out of state,0,nv - nevada,1 - driver license,b - suspected minor injury
160,16858386.0,29,no charges,w - white,2018-03-10,saturday,1 - male,"4 - worn, unk damage",cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
161,16322213.0,37,no charges,w - white,2018-03-13,tuesday,2 - female,"4 - worn, unk damage",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
162,16318791.0,12,evading arrest/detention with motor vehicle,w - white,2018-03-15,thursday,1 - male,1 - not worn,5 - unlicensed,0,,5 - unlicensed,b - suspected minor injury
163,16323655.0,23,fail to maint financial responsibility,w - white,2018-03-15,thursday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
164,16334740.0,18,failure to maintain single lane,h - hispanic,2018-03-15,thursday,1 - male,"4 - worn, unk damage",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
165,16320780.0,18,unsafe speed,h - hispanic,2018-03-16,friday,1 - male,99 - unknown if worn,cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
166,16322353.0,63,unsafe speed,w - white,2018-03-16,friday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
167,16324540.0,19,no charges,w - white,2018-03-16,friday,1 - male,"2 - worn, damaged",,0,,,b - suspected minor injury
168,16327400.0,45,no charges,w - white,2018-03-16,friday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
169,16331579.0,24,fsgi,h - hispanic,2018-03-16,friday,1 - male,1 - not worn,5 - unlicensed,0,tx - texas,4 - id card,b - suspected minor injury
170,16342891.0,43,unsafe speed,w - white,2018-03-16,friday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
171,16319538.0,23,unsafe speed,w - white,2018-03-17,saturday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
172,16320704.0,36,no charges,w - white,2018-03-17,saturday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,k - fatal injury
173,16325439.0,43,no charges,b - black,2018-03-17,saturday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
174,16330470.0,32,no charges,h - hispanic,2018-03-17,saturday,1 - male,"3 - worn, not damaged",am - class a and m,1,tx - texas,2 - commercial driver lic.,b - suspected minor injury
175,16319500.0,22,no charges,h - hispanic,2018-03-18,sunday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
176,16321393.0,49,no charges,w - white,2018-03-18,sunday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
178,16333088.0,57,no charges,b - black,2018-03-18,sunday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
179,16319999.0,45,driving while intoxicated,w - white,2018-03-19,monday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
180,16321969.0,26,no charges,h - hispanic,2018-03-20,tuesday,1 - male,"4 - worn, unk damage",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
