person_age,person_gender,person_ethnicity,person_injury_severity,driver_license_class,motorcycle_endorsed
26,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
23,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,False
51,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,False
31,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,True
23,1 - MALE,W - WHITE,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,False
59,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
38,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
54,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
19,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,98 - OTHER/OUT OF STATE,False
60,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,False
37,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
71,1 - MALE,B - BLACK,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
32,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
18,1 - MALE,W - WHITE,K - FATAL INJURY,C - CLASS C,False
23,1 - MALE,W - WHITE,N - NOT INJURED,C - CLASS C,False
22,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,False
44,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,False
26,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,5 - UNLICENSED,False
25,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
21,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
18,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
22,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
21,1 - MALE,W - WHITE,N - NOT INJURED,5 - UNLICENSED,False
41,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,5 - UNLICENSED,False
33,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,B - CLASS B,False
59,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,AM - CLASS A AND M,True
43,1 - MALE,W - WHITE,N - NOT INJURED,AM - CLASS A AND M,True
46,1 - MALE,B - BLACK,N - NOT INJURED,98 - OTHER/OUT OF STATE,False
50,1 - MALE,W - WHITE,N - NOT INJURED,C - CLASS C,False
30,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
20,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,False
70,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
33,1 - MALE,B - BLACK,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
61,1 - MALE,W - WHITE,C - POSSIBLE INJURY,M - CLASS M,True
24,1 - MALE,W - WHITE,C - POSSIBLE INJURY,A - CLASS A,False
28,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,False
23,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
28,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
22,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,False
39,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,False
26,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,False
45,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
23,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
61,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,True
39,1 - MALE,A - ASIAN,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
44,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,False
53,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,True
35,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
27,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,False
25,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,AM - CLASS A AND M,True
48,1 - MALE,98 - OTHER,B - SUSPECTED MINOR INJURY,C - CLASS C,False
36,1 - MALE,W - WHITE,N - NOT INJURED,A - CLASS A,False
37,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,False
29,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
37,2 - FEMALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
12,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,False
23,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,False
18,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,False
18,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
63,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
19,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
45,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
24,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,False
43,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
23,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
36,1 - MALE,W - WHITE,K - FATAL INJURY,C - CLASS C,False
43,1 - MALE,B - BLACK,B - SUSPECTED MINOR INJURY,C - CLASS C,False
32,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,AM - CLASS A AND M,True
22,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,False
49,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
29,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,False
57,1 - MALE,B - BLACK,C - POSSIBLE INJURY,C - CLASS C,False
45,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
26,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,False
39,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,AM - CLASS A AND M,True
19,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
30,1 - MALE,98 - OTHER,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
57,1 - MALE,B - BLACK,N - NOT INJURED,98 - OTHER/OUT OF STATE,False
63,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
20,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,False
43,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
50,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
49,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,True
25,1 - MALE,B - BLACK,C - POSSIBLE INJURY,5 - UNLICENSED,False
25,1 - MALE,W - WHITE,N - NOT INJURED,C - CLASS C,False
58,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
34,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
41,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,True
53,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
23,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
80,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
53,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
56,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,True
31,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
35,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
22,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,False
51,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
41,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,True
68,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
21,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,False
41,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,False
32,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
68,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
36,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,False
61,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,98 - OTHER/OUT OF STATE,False
48,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,True
41,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,False
29,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,98 - OTHER/OUT OF STATE,False
28,1 - MALE,A - ASIAN,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
32,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
62,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
19,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
39,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,98 - OTHER/OUT OF STATE,False
35,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,False
62,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
19,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,False
24,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
26,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,False
35,2 - FEMALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,False
30,1 - MALE,A - ASIAN,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
17,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,True
22,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
56,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
17,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,False
31,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
28,1 - MALE,H - HISPANIC,N - NOT INJURED,CM - CLASS C AND M,True
22,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,A - CLASS A,False
26,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,False
23,1 - MALE,B - BLACK,C - POSSIBLE INJURY,C - CLASS C,False
24,1 - MALE,B - BLACK,C - POSSIBLE INJURY,C - CLASS C,False
22,1 - MALE,98 - OTHER,C - POSSIBLE INJURY,CM - CLASS C AND M,True
58,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,True
32,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
60,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,CM - CLASS C AND M,True
22,2 - FEMALE,B - BLACK,B - SUSPECTED MINOR INJURY,C - CLASS C,False
53,1 - MALE,W - WHITE,K - FATAL INJURY,98 - OTHER/OUT OF STATE,False
24,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,False
46,1 - MALE,B - BLACK,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
47,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,True
21,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
26,1 - MALE,W - WHITE,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,False
37,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
27,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,False
21,1 - MALE,B - BLACK,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
29,1 - MALE,98 - OTHER,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
50,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
34,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,98 - OTHER/OUT OF STATE,False
40,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
32,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
68,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,True
55,1 - MALE,W - WHITE,N - NOT INJURED,C - CLASS C,False
45,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
49,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,AM - CLASS A AND M,True
30,1 - MALE,W - WHITE,K - FATAL INJURY,C - CLASS C,False
30,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
35,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
51,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,AM - CLASS A AND M,True
24,1 - MALE,H - HISPANIC,N - NOT INJURED,A - CLASS A,False
41,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
41,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
27,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,BM - CLASS B AND M,True
29,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
62,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
37,2 - FEMALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
21,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
37,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
36,1 - MALE,W - WHITE,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,False
21,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
21,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
39,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
65,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
38,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
49,2 - FEMALE,B - BLACK,C - POSSIBLE INJURY,CM - CLASS C AND M,True
14,1 - MALE,B - BLACK,C - POSSIBLE INJURY,CM - CLASS C AND M,True
27,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
44,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
42,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
56,1 - MALE,W - WHITE,N - NOT INJURED,5 - UNLICENSED,False
21,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,False
34,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
26,1 - MALE,H - HISPANIC,N - NOT INJURED,CM - CLASS C AND M,True
26,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
50,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
40,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,True
22,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
35,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
48,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,False
31,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
59,1 - MALE,B - BLACK,C - POSSIBLE INJURY,CM - CLASS C AND M,True
45,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,AM - CLASS A AND M,True
22,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,False
40,1 - MALE,W - WHITE,K - FATAL INJURY,C - CLASS C,False
71,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,True
74,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,True
37,1 - MALE,98 - OTHER,B - SUSPECTED MINOR INJURY,A - CLASS A,False
34,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
