crash_id,license_plate_state,vehicle_body_style,vehicle_color,vehicle_defect_1,vehicle_make,vehicle_model_name,vehicle_model_year,person_injury_severity
16196704,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HONDA,CBR600 (HONDA),2005,A - SUSPECTED SERIOUS INJURY
16201236,TX - TEXAS,MC - MOTORCYCLE,ONG - ORANGE,no data,KAWASAKI,ZX600 (KAWASAKI),2000,B - SUSPECTED MINOR INJURY
16201539,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2016,B - SUSPECTED MINOR INJURY
16202512,TX - TEXAS,MC - MOTORCYCLE,WHI - WHITE,no data,KAWASAKI,VULCAN 2000 (KAWASAKI),2015,B - SUSPECTED MINOR INJURY
16207275,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,HARLEY-DAVIDSON,FLH80 (HARLEY-DAVIDSON),2007,B - SUSPECTED MINOR INJURY
16210409,TX - TEXAS,MC - MOTORCYCLE,WHI - WHITE,no data,HARLEY-DAVIDSON,FLHP (HARLEY-DAVIDSON),2016,B - SUSPECTED MINOR INJURY
16198322,TX - TEXAS,MC - MOTORCYCLE,ONG - ORANGE,no data,HONDA,VTX1800 (HONDA),2002,B - SUSPECTED MINOR INJURY
16199789,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,KAWASAKI,UNKNOWN (KAWASAKI),2005,B - SUSPECTED MINOR INJURY
16206294,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,BMW,R1200 (BMW),2012,B - SUSPECTED MINOR INJURY
16209550,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HONDA,UNKNOWN (HONDA),2004,B - SUSPECTED MINOR INJURY
16259326,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,YAMAHA,UNKNOWN (YAMAHA),2007,N - NOT INJURED
16333091,TX - TEXAS,MC - MOTORCYCLE,BRO - BROWN,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2014,B - SUSPECTED MINOR INJURY
16205342,TX - TEXAS,PM - POLICE MOTORCYCLE,WHI - WHITE,98 - OTHER  (EXPLAIN IN NARRATIVE),BMW,R1200 (BMW),2016,B - SUSPECTED MINOR INJURY
16205706,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,DUCATI,MONSTER (DUCATI),2013,B - SUSPECTED MINOR INJURY
16203652,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HONDA,GL1100 (HONDA),2003,B - SUSPECTED MINOR INJURY
16208100,TX - TEXAS,MC - MOTORCYCLE,MAR - MAROON,no data,KAWASAKI,ZG1200 (KAWASAKI),2001,B - SUSPECTED MINOR INJURY
16211075,TX - TEXAS,MC - MOTORCYCLE,ONG - ORANGE,no data,no data,no data,2017,B - SUSPECTED MINOR INJURY
16212293,TX - TEXAS,MC - MOTORCYCLE,WHI - WHITE,no data,KAWASAKI,ZX1000 (KAWASAKI),2017,B - SUSPECTED MINOR INJURY
16206624,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,FLTRX (HARLEY-DAVIDSON),2018,B - SUSPECTED MINOR INJURY
16206829,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HARLEY-DAVIDSON,FLD (HARLEY-DAVIDSON),2016,A - SUSPECTED SERIOUS INJURY
16209449,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,FXDL (HARLEY-DAVIDSON),2017,B - SUSPECTED MINOR INJURY
16254349,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,FLHTCUTG (HARLEY-DAVIDSON),2017,B - SUSPECTED MINOR INJURY
16209160,TX - TEXAS,MC - MOTORCYCLE,WHI - WHITE,no data,KAWASAKI,EX650 (KAWASAKI),2017,N - NOT INJURED
16210352,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2017,N - NOT INJURED
16212341,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,FLD (HARLEY-DAVIDSON),2013,N - NOT INJURED
16212987,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,KAWASAKI,NINJA ZX (KAWASAKI),2016,B - SUSPECTED MINOR INJURY
16602409,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,HONDA,CRF1000 (HONDA),2002,K - FATAL INJURY
16212195,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,SUZUKI,GSX750 (SUZUKI),2015,B - SUSPECTED MINOR INJURY
16860426,no data,MC - MOTORCYCLE,BLK - BLACK,no data,KAWASAKI,NINJA ZX (KAWASAKI),2015,A - SUSPECTED SERIOUS INJURY
16320457,TX - TEXAS,MC - MOTORCYCLE,WHI - WHITE,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2004,N - NOT INJURED
16323750,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,HONDA,VT1300 (HONDA),2015,A - SUSPECTED SERIOUS INJURY
16259293,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,SUZUKI,UNKNOWN (SUZUKI),2012,A - SUSPECTED SERIOUS INJURY
16255449,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,SUZUKI,AN400 (SUZUKI),2007,N - NOT INJURED
16257128,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,no data,no data,2005,A - SUSPECTED SERIOUS INJURY
16255069,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2008,B - SUSPECTED MINOR INJURY
16268900,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,HARLEY-DAVIDSON,FLHR (HARLEY-DAVIDSON),2016,K - FATAL INJURY
16270130,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2003,B - SUSPECTED MINOR INJURY
16258314,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,HARLEY-DAVIDSON,FLHTPI (HARLEY-DAVIDSON),2006,A - SUSPECTED SERIOUS INJURY
16254987,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,YAMAHA,UNKNOWN (YAMAHA),2016,B - SUSPECTED MINOR INJURY
16258499,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HONDA,CBR600 (HONDA),2013,N - NOT INJURED
16261200,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HONDA,UNKNOWN (HONDA),1999,B - SUSPECTED MINOR INJURY
16253542,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,XLH883 (HARLEY-DAVIDSON),2016,B - SUSPECTED MINOR INJURY
16254192,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,YAMAHA,YZFR1 (YAMAHA),2014,B - SUSPECTED MINOR INJURY
16254203,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,12 - DEFECTIVE OR SLICK TIRES,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2001,B - SUSPECTED MINOR INJURY
16254391,MO - MISSOURI,MC - MOTORCYCLE,BLK - BLACK,no data,SUZUKI,GSX (SUZUKI),2008,B - SUSPECTED MINOR INJURY
16261729,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,FXDB (HARLEY-DAVIDSON),2009,A - SUSPECTED SERIOUS INJURY
16264647,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),1997,A - SUSPECTED SERIOUS INJURY
16273456,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HONDA,VTX1300 (HONDA),2006,B - SUSPECTED MINOR INJURY
16254725,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,GENUINE SCOOTER CO.,BUDDY (GENUINE SCOOTER CO.),2009,A - SUSPECTED SERIOUS INJURY
16257931,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,BUELL,BLAST (BUELL),2005,B - SUSPECTED MINOR INJURY
16264714,WI - WISCONSIN,MC - MOTORCYCLE,WHI - WHITE,no data,YAMAHA,FZ6 (YAMAHA),2009,B - SUSPECTED MINOR INJURY
16264779,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,BMW,R1200 (BMW),2006,B - SUSPECTED MINOR INJURY
16258442,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2007,A - SUSPECTED SERIOUS INJURY
16261379,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,VICTORY MOTORCYCLES,CROSS COUNTRY (VICTORY MOTORCYCLES),2012,B - SUSPECTED MINOR INJURY
16268261,OK - OKLAHOMA,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2005,A - SUSPECTED SERIOUS INJURY
16255550,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2015,N - NOT INJURED
16258089,TN - TENNESSEE,MC - MOTORCYCLE,BLK - BLACK,no data,HONDA,CBR500 (HONDA),2014,B - SUSPECTED MINOR INJURY
16258540,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2006,N - NOT INJURED
16260343,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,YAMAHA,UNKNOWN (YAMAHA),2015,B - SUSPECTED MINOR INJURY
16260717,TX - TEXAS,MC - MOTORCYCLE,RED - RED,98 - OTHER  (EXPLAIN IN NARRATIVE),VICTORY MOTORCYCLES,VX (VICTORY MOTORCYCLES),2014,A - SUSPECTED SERIOUS INJURY
16261750,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,FXSTS (HARLEY-DAVIDSON),2005,B - SUSPECTED MINOR INJURY
16264620,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,INDIAN MOTORCYCLE CO.,CHIEF (INDIAN MOTORCYCLE CO.),2016,N - NOT INJURED
16267779,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,SUZUKI,GSX (SUZUKI),2001,B - SUSPECTED MINOR INJURY
16268559,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HARLEY-DAVIDSON,FLD (HARLEY-DAVIDSON),2017,A - SUSPECTED SERIOUS INJURY
16268635,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2004,A - SUSPECTED SERIOUS INJURY
16274089,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HARLEY-DAVIDSON,XG750 (HARLEY-DAVIDSON),2015,B - SUSPECTED MINOR INJURY
16277523,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,KAWASAKI,ZX600 (KAWASAKI),2016,N - NOT INJURED
16332636,MN - MINNESOTA,MC - MOTORCYCLE,BLK - BLACK,no data,HONDA,UNKNOWN (HONDA),1995,B - SUSPECTED MINOR INJURY
16258265,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,YAMAHA,no data,2009,B - SUSPECTED MINOR INJURY
16260336,TX - TEXAS,MC - MOTORCYCLE,WHI - WHITE,no data,HARLEY-DAVIDSON,FLHP (HARLEY-DAVIDSON),1997,B - SUSPECTED MINOR INJURY
16260669,CA - CALIFORNIA,MC - MOTORCYCLE,BLK - BLACK,no data,HONDA,CBR500 (HONDA),2016,B - SUSPECTED MINOR INJURY
16264348,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,YIBEN,UNKNOWN (YIBEN),2016,B - SUSPECTED MINOR INJURY
16271274,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HONDA,GL1800 (HONDA),2018,B - SUSPECTED MINOR INJURY
16273508,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,XLH883 (HARLEY-DAVIDSON),2015,A - SUSPECTED SERIOUS INJURY
16275784,TX - TEXAS,MC - MOTORCYCLE,GRN - GREEN,no data,SUZUKI,UNKNOWN (SUZUKI),1999,K - FATAL INJURY
16259084,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HONDA,VF700 (HONDA),2007,N - NOT INJURED
16268339,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,SUZUKI,GSX-R600 (SUZUKI),2005,B - SUSPECTED MINOR INJURY
16273619,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,YAMAHA,XVS1300 (YAMAHA),2009,B - SUSPECTED MINOR INJURY
16265981,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,YAMAHA,YXR660 (YAMAHA),2009,B - SUSPECTED MINOR INJURY
16264962,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,YAMAHA,YZFR6 (YAMAHA),2004,B - SUSPECTED MINOR INJURY
16270560,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,YAMAHA,YZFR6 (YAMAHA),2014,B - SUSPECTED MINOR INJURY
16274074,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HONDA,no data,1997,B - SUSPECTED MINOR INJURY
16335199,TX - TEXAS,MC - MOTORCYCLE,MUL - MULTICOLORED,no data,YAMAHA,YW50 (YAMAHA),2014,N - NOT INJURED
16266845,TX - TEXAS,MC - MOTORCYCLE,GLD - GOLD,no data,YAMAHA,UNKNOWN (YAMAHA),2001,B - SUSPECTED MINOR INJURY
16267359,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,XL1200 (HARLEY-DAVIDSON),2017,B - SUSPECTED MINOR INJURY
16271404,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2009,A - SUSPECTED SERIOUS INJURY
16272445,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,FLHT (HARLEY-DAVIDSON),2017,N - NOT INJURED
16277521,TN - TENNESSEE,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,FLTRU (HARLEY-DAVIDSON),2012,N - NOT INJURED
16269244,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,XL1200 (HARLEY-DAVIDSON),2014,N - NOT INJURED
16269824,TX - TEXAS,MC - MOTORCYCLE,SIL - SILVER,no data,BUELL,LIGHTNING (BUELL),2005,B - SUSPECTED MINOR INJURY
16270187,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,YAMAHA,FZ6 (YAMAHA),2009,B - SUSPECTED MINOR INJURY
16270672,TX - TEXAS,MC - MOTORCYCLE,MAR - MAROON,no data,HONDA,UNKNOWN (HONDA),2007,B - SUSPECTED MINOR INJURY
16271436,TX - TEXAS,MC - MOTORCYCLE,ONG - ORANGE,no data,SUZUKI,GSX (SUZUKI),2006,B - SUSPECTED MINOR INJURY
16274868,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,XL1200 (HARLEY-DAVIDSON),2008,B - SUSPECTED MINOR INJURY
16343885,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,SUZUKI,UNKNOWN (SUZUKI),2008,B - SUSPECTED MINOR INJURY
16274642,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,HONDA,XL100 (HONDA),2016,B - SUSPECTED MINOR INJURY
16274753,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HONDA,CBR1000 (HONDA),2006,A - SUSPECTED SERIOUS INJURY
16274933,TX - TEXAS,MC - MOTORCYCLE,WHI - WHITE,no data,YAMAHA,FZ09 (YAMAHA),2017,A - SUSPECTED SERIOUS INJURY
16277194,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,10 - DEFECTIVE OR NO VEHICLE BRAKES,YAMAHA,YZF600 (YAMAHA),2003,B - SUSPECTED MINOR INJURY
16278483,no data,MC - MOTORCYCLE,BLK - BLACK,no data,SUZUKI,GSF600 (SUZUKI),2008,A - SUSPECTED SERIOUS INJURY
16273336,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,KAWASAKI,UNKNOWN (KAWASAKI),1993,B - SUSPECTED MINOR INJURY
16274829,TX - TEXAS,MC - MOTORCYCLE,MAR - MAROON,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2007,B - SUSPECTED MINOR INJURY
16275519,TX - TEXAS,MC - MOTORCYCLE,MAR - MAROON,no data,VICTORY MOTORCYCLES,UNKNOWN (VICTORY MOTORCYCLES),2008,A - SUSPECTED SERIOUS INJURY
16319019,TX - TEXAS,MC - MOTORCYCLE,SIL - SILVER,no data,HARLEY-DAVIDSON,no data,2004,K - FATAL INJURY
16396034,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,PIAGGIO,BV (PIAGGIO),2013,A - SUSPECTED SERIOUS INJURY
16275247,NM - NEW MEXICO,MC - MOTORCYCLE,BLK - BLACK,no data,SUZUKI,UNKNOWN (SUZUKI),2007,B - SUSPECTED MINOR INJURY
16275394,TX - TEXAS,MC - MOTORCYCLE,GRY - GRAY,no data,HARLEY-DAVIDSON,FLHTCUI (HARLEY-DAVIDSON),2006,B - SUSPECTED MINOR INJURY
16278379,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,10 - DEFECTIVE OR NO VEHICLE BRAKES,HARLEY-DAVIDSON,VRSCA (HARLEY-DAVIDSON),2007,B - SUSPECTED MINOR INJURY
16278512,no data,MC - MOTORCYCLE,RED - RED,no data,KAWASAKI,ZR1000 (KAWASAKI),2008,B - SUSPECTED MINOR INJURY
16331218,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,98 - OTHER  (EXPLAIN IN NARRATIVE),YAMAHA,YZFR1 (YAMAHA),2004,B - SUSPECTED MINOR INJURY
16327012,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2015,B - SUSPECTED MINOR INJURY
16321960,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,SUZUKI,C50 (SUZUKI),2008,N - NOT INJURED
16849747,NV - NEVADA,MC - MOTORCYCLE,BLK - BLACK,no data,KAWASAKI,KL600 (KAWASAKI),2017,B - SUSPECTED MINOR INJURY
16858386,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,FLDE (HARLEY-DAVIDSON),2015,A - SUSPECTED SERIOUS INJURY
16322213,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HONDA,no data,2011,B - SUSPECTED MINOR INJURY
16318791,no data,MC - MOTORCYCLE,RED - RED,no data,HONDA,CRF125 (HONDA),2017,B - SUSPECTED MINOR INJURY
16323655,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,HARLEY-DAVIDSON,FXS (HARLEY-DAVIDSON),2004,B - SUSPECTED MINOR INJURY
16334740,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,SUZUKI,UNKNOWN (SUZUKI),1999,B - SUSPECTED MINOR INJURY
16320780,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HARLEY-DAVIDSON,XL1200 (HARLEY-DAVIDSON),2011,A - SUSPECTED SERIOUS INJURY
16322353,TX - TEXAS,MC - MOTORCYCLE,SIL - SILVER,no data,HARLEY-DAVIDSON,XLX (HARLEY-DAVIDSON),2016,A - SUSPECTED SERIOUS INJURY
16324540,no data,MC - MOTORCYCLE,YEL - YELLOW,no data,HONDA,UNKNOWN (HONDA),2006,B - SUSPECTED MINOR INJURY
16327400,TX - TEXAS,MC - MOTORCYCLE,WHI - WHITE,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2009,A - SUSPECTED SERIOUS INJURY
16331579,TX - TEXAS,MC - MOTORCYCLE,99 - UNKNOWN,no data,KAWASAKI,UNKNOWN (KAWASAKI),2008,B - SUSPECTED MINOR INJURY
16342891,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,XLS (HARLEY-DAVIDSON),1993,B - SUSPECTED MINOR INJURY
16319538,TX - TEXAS,MC - MOTORCYCLE,WHI - WHITE,no data,VICTORY MOTORCYCLES,CROSS COUNTRY (VICTORY MOTORCYCLES),2017,B - SUSPECTED MINOR INJURY
